id,text_2,text_1
f200-enth-282,แม้ว่าจะมีคนอยู่ในบ้านสามคนขณะรถชนแต่ก็ไม่มีใครได้รับบาดเจ็บ,"Although three people were inside the house when the car impacted it, none of them were hurt."
f200-enth-325,ร้อยละ 34 ของผู้ที่ทำแบบสำรวจความคิดเห็นต้องการให้สมเด็จพระราชินีนาถเอลิซาเบธที่ 2 ได้เป็นราชินีองค์สุดท้ายของออสเตรเลีย,"34 per cent of those in the poll share this view, wanting Queen Elizabeth II to be Australia's last monarch."
f200-enth-502,คุณสมบัติต่าง ๆ ที่กำหนดว่าวัฒนธรรมย่อยหนึ่ง ๆ นั้นมีความแตกต่างชัดเจนอาจเป็นภาษาศาสตร์ สุนทรียศาสตร์ ศาสนา การเมือง เรื่องเกี่ยวกับเพศ ภูมิศาสตร์ หรือปัจจัยหลายอย่างรวมกัน,"The qualities that determine a subculture as distinct may be linguistic, aesthetic, religious, political, sexual, geographical, or a combination of factors."
f200-enth-631,ชาวอียิปต์โบราณในราชอาณาจักรใหม่ต่างพากันประหลาดใจเมื่อได้เห็นอนุสรณ์สถานใของบรรพบุรุษซึ่งมีอายุมากกว่าหนึ่งพันปีแล้ว,"New Kingdom ancient Egyptians marvelled at their predecessors monuments, which were then well over a thousand year old."
f200-enth-83,กรมการทหารช่างสหรัฐฯ คาดการณ์ว่าน้ำฝนที่มีปริมาณ 6 นิ้วอาจทำให้เขื่อนที่ได้รับความเสียหายอยู่แล้วแตกได้,The U.S. Corps of Engineers estimated that 6 inches of rainfall could breach the previously damaged levees.
f200-enth-62,จอโทรทัศน์ขนาดใหญ่หลายจอได้รับการติดตั้งในสถานที่ต่าง ๆ ในกรุงโรมเพื่อให้ประชาชนได้รับชมพระราชพิธี,Several large television screens were installed in various places in Rome to let the people watch the ceremony.
f200-enth-825,ศัตรูพืชก่อให้เกิดการสูญเสียอาหาร ก่อความรำคาญ หรือในกรณีที่แย่กว่านั้นคืออาจทำให้เกิดอาการแพ้ พิษแพร่กระจาย หรือแพร่เชื้อได้,"Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections."
f200-enth-568,เห็นได้ชัดเพียงพอว่าโลกเปลี่ยนแปลงไปมากเนื่องจากความก้าวหน้าทางวิทยาศาสตร์และเทคโนโลยีของมนุษยชาติ และปัญหาต่าง ๆ ก็มากขึ้นเนื่องจากมีประชากรมากเกินไปและวิถีชีวิตที่ฟุ่มเฟือยของมนุษยชาติ,"It is obvious enough that the world has changed much because of humankind's scientific and technological advancements, and problems have become greater because of overpopulation and mankind's extravagant lifestyle."
f200-enth-675,ความสัมพันธ์เกี่ยวโยงระหว่างพยาธิวิทยาของสมองและพฤติกรรมจะช่วยสนับสนุนนักวิทยาศาสตร์ในการวิจัยของพวกเขา,The correlation between brain pathology and behaviour supports scientists in their research.
f200-enth-3,เขาก็เหมือนกับผู้เชี่ยวชาญคนอื่น ๆ ที่สงสัยว่าโรคเบาหวานจะสามารถรักษาให้หายขาดได้หรือไม่ โดยที่ทราบว่าผลการวิจัยเหล่านี้ไม่ได้เกี่ยวข้องกับผู้ที่มีโรคเบาหวานชนิดที่ 1 อยู่แล้ว,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes."
f200-enth-545,เยอรมนีคือศัตรูร่วมกันของสหภาพโซเวียตและสหรัฐอเมริกาในสงครามโลกครั้งที่ 2 จึงนำไปสู่ความร่วมมือระหว่างทั้งสองประเทศ เมื่อสงครามสิ้นสุดลง ความขัดแย้งทางระบบ กระบวนการ และวัฒนธรรม ทำให้ประเทศต่าง ๆ กระทบกระทั่งกัน,"Germany was a common enemy in World War 2, leading to cooperation between the USSR and USA. With the end of the war the clashes of system, process and culture led to the countries falling out."
f200-enth-738,รถโดยสารออกจากสถานีรถระหว่างมณฑล (ข้ามแม่น้ำ) ตลอดทั้งวัน โดยส่วนใหญ่แล้วรถที่มุ่งหน้าไปทางตะวันออกและ Jakar/Bumthang จะออกจากสถานีระหว่างเวลา 06.30 and 07.30 น.,"Buses depart the inter-district bus station (across the river) throughout the day, though most, especially those heading to the east and Jakar/Bumthang leave between 06:30 and 07:30."
f200-enth-468,"สัญลักษณ์ ""โบหงาย"" มีลักษณะเหมือนตัว V ส่วน ""สัญลักษณ์โบว์คว่ำ"" มีลักษณะเหมือนลวดเย็บกระดาษหรือรูปสี่เหลี่ยมจัตุรัสที่ไม่มีด้านล่าง","The ""up bow"" mark looks like a V and the ""down bow mark"" like a staple or a square missing its bottom side."
f200-enth-332,นักวิทยาศาสตร์หวังที่จะเข้าใจว่าดาวเคราะห์ก่อตัวขึ้นอย่างไร โดยเฉพาะอย่างยิ่งการก่อตัวขึ้นของโลก ตั้งแต่ที่ถูกดาวหางพุ่งชนโลกเมื่อนานมาแล้ว,"Scientists hope to understand how planets form, especially how the Earth formed, since comets collided with the Earth long ago."
f200-enth-251,บริษัท Hokuriku Electric Power รายงานว่าไม่ได้รับผลกระทบจากแผ่นดินไหวและเตาปฏิกรณ์หมายเลข 1 กับ 2 ที่โรงไฟฟ้าพลังนิวเคลียร์ Shika ของบริษัทถูกปิดการใช้งาน,Hokuriku Electric Power Co. reported no effects from the earthquake and that the Number 1 and 2 reactors at its Shika nuclear power plant were shut down.
f200-enth-732,นี่คือสถานที่ที่ชาวอาณานิคมอังกฤษยึดไว้เป็นของตนเอง เพราะฉะนั้น หากคุณกำลังมองหาหลักฐานที่บ่งบอกถึงอดีตของอาณานิคมแห่งนี้ล่ะก็ ที่นี่คือจุดเริ่มต้นที่ดี,"This is the place the British colonisers took as their own and so if you are looking for evidence of the territory's colonial past, this is a good place to start."
f200-enth-240,จิอันคาร์โล ฟิซิเชลลา สูญเสียการควบคุมรถของเขาและยุติการแข่งขันหลังจากเริ่มต้นได้ไม่นาน,Giancarlo Fisichella lost control of his car and ended the race very soon after the start.
