Input,Pred,Pred_Latin,Gold
หื้อเขียนวิธียะ ลาบเหนือ หื้อเป๋นภาษาเหนือ," the recipe for making ""ลาบเหนือ"" in Northern Thai dialect:

1. ""จั่งหมู"" (Prepare the meat): Choose fresh pork, beef, or a combination of both. Cut the meat into small pieces and set aside.

2. ""จั่งเครื่องลาบ"" (Prepare the ingredients): Finely chop lemongrass, galangal, garlic, shallots, chilies, cilantro, mint leaves, and scallions. Grind them together in a mortar until well combined.

3. ""จั่งน้ำปลา"" (Prepare the fish sauce): Mix fish sauce, lime juice, and palm sugar in a bowl. Stir until the sugar dissolves.

4. ""จั่งลาบ"" (Make the larb): In a large bowl, combine the chopped meat, ground ingredients, fish sauce mixture, and toasted sticky rice powder. Mix everything together until well combined.

5. ""จั่งรสชาติ"" (Season the flavor): Taste and adjust the seasoning as needed. Add more fish sauce, lime juice, or chilies if desired.

6. ""จั่งเสิร์ฟ"" (Serve): Transfer the larb to a serving dish and garnish with additional cilantro, mint leaves, and chilies. Serve with sticky rice or vegetables.

""ลาบเหนือ"" is a popular dish in Northern Thailand, known for its spicy and sour flavors. Enjoy!"," the recipe for making ""labehnueo"" in Northern Thai dialect:

1. ""changhmu"" (Prepare the meat): Choose fresh pork, beef, or a combination of both. Cut the meat into small pieces and set aside.

2. ""changekhrueonglab"" (Prepare the ingredients): Finely chop lemongrass, galangal, garlic, shallots, chilies, cilantro, mint leaves, and scallions. Grind them together in a mortar until well combined.

3. ""changnampla"" (Prepare the fish sauce): Mix fish sauce, lime juice, and palm sugar in a bowl. Stir until the sugar dissolves.

4. ""changlab"" (Make the larb): In a large bowl, combine the chopped meat, ground ingredients, fish sauce mixture, and toasted sticky rice powder. Mix everything together until well combined.

5. ""changrschati"" (Season the flavor): Taste and adjust the seasoning as needed. Add more fish sauce, lime juice, or chilies if desired.

6. ""changesirf"" (Serve): Transfer the larb to a serving dish and garnish with additional cilantro, mint leaves, and chilies. Serve with sticky rice or vegetables.

""labehnueo"" is a popular dish in Northern Thailand, known for its spicy and sour flavors. Enjoy!",.
หื้อเขียนวิธียะ ขนมจีนน้ำเงี้ยว หื้อเป๋นภาษาเหนือ,"ขนมจีนน้ำเงี้ยว เป็นอาหารที่สำคัญของชาวเหนือ และเป็นอาหารที่มีความหมายทางวัฒนธรรมที่สำคัญ วิธีการทำขนมจีนน้ำเงี้ยวนั้นไม่ยาก เพียงแค่มีส่วนผสมที่ถูกต้องและทำตามขั้นตอน ดังนี้

ส่วนผสม:

* ขนมจีน 1 กิโลกรัม
* น้ำเงี้ยว 2 ถ้วย
* น้ำมันพืช 2 ช้อนโต๊ะ
* กระเทียม 3 หัว
* หอมใหญ่ 2 หัว
* พริกแห้ง 1 ช้อนโต๊ะ
* น้ำปลา 1 ช้อนโต๊ะ
* น้ำตาล 1 ช้อนโต๊ะ
* น้ำมะนาว 1 ช้อนโต๊ะ
* ผักชี 1 กำ
* เนื้อหมูหรือเนื้อวัว 200 กรัม (ถ้าไม่มีเนื้อหมูหรือเนื้อวัว สามารถใช้เนื้อไก่หรือเนื้อปลาแทนได้)

วิธีทำ:

1. นำขนมจีนไปล้างให้สะอาด แล้วนำไปต้มในน้ำเดือดจนขนมจีนนุ่ม แล้วนำขึ้นมากรองน้ำ
2. นำกระเทียม หอมใหญ่ และพริกแห้งไปตำให้ละเอียด
3. นำน้ำมันพืชไปตั้งไฟให้ร้อน แล้วนำกระเทียม หอมใหญ่ และพริกแห้งที่ตำแล้วไปผัดให้หอม
4. นำเนื้อหมูหรือเนื้อวัวไปผัดให้สุก
5. นำน้ำเงี้ยว น้ำปลา น้ำตาล และน้ำมะนาวไปผสมกัน แล้วนำไปใส่ในกระทะที่มีน้ำมันพืชและกระเทียม หอมใหญ่ และพริกแห้ง
6. นำขนมจีนที่ต้มแล้วไปใส่ในกระทะ แล้วผัดให้เข้ากัน
7. นำผักชีไปใส่ในกระทะ แล้วผัดให้เข้ากัน
8. นำขนมจีนน้ำเงี้ยวที่ทำแล้วไปเสิร์ฟ

ขนมจีนน้ำเงี้ยวที่ทำแล้วควรมีรสชาติที่กลมกล่อม มีความหวาน มัน และเปรี้ยวเล็กน้อย ถ้าทำตามขั้นตอนที่แนะนำแล้ว คุณจะได้ขนมจีนน้ำเงี้ยวที่อร่อยและถูกต้องตามวัฒนธรรมของชาวเหนือ.","khnmchinnamengiyw epnoaharthisamkhaykhongchawehnueo aelaepnoaharthimikhwamhmaythangwathnthrrmthisamkhay withikarthamkhnmchinnamengiywnanaimyak ephiyngaekhmiswnphsmthithuktongaelathamtamkhanton dangni

swnphsm:

* khnmchin 1 kiolkram
* namengiyw 2 thwy
* nammanphuech 2 chonota
* kraethiym 3 haw
* homaihy 2 haw
* phrikaehng 1 chonota
* nampla 1 chonota
* namtal 1 chonota
* nammanaw 1 chonota
* phakchi 1 kam
* enueohmuhrueoenueowaw 200 kram (thaaimmienueohmuhrueoenueowaw samarthaichenueoaikhrueoenueoplaaethnaid)

withitham:

1. namkhnmchinaiplangaihsaoad aelwnamaiptmainnamedueodchnkhnmchinnum aelwnamkhuenmakrongnam
2. namkraethiym homaihy aelaphrikaehngaiptamaihlaeoiyd
3. namnammanphuechaiptangaifaihron aelwnamkraethiym homaihy aelaphrikaehngthitamaelwaipphadaihhom
4. namenueohmuhrueoenueowawaipphadaihsuk
5. namnamengiyw nampla namtal aelanammanawaipphsmkan aelwnamaipaisainkrathathiminammanphuechaelakraethiym homaihy aelaphrikaehng
6. namkhnmchinthitmaelwaipaisainkratha aelwphadaihekhakan
7. namphakchiaipaisainkratha aelwphadaihekhakan
8. namkhnmchinnamengiywthithamaelwaipesirf

khnmchinnamengiywthithamaelwkhwrmirschatithiklmklom mikhwamhwan man aelaepriywelknoy thathamtamkhantonthiaenanamaelw khunchaaidkhnmchinnamengiywthioroyaelathuktongtamwathnthrrmkhongchawehnueo.",.
หื้อเขียนวิธียะ แกงฮังเล หื้อเป๋นภาษาเหนือ," the recipe for แกงฮังเล in Northern Thai dialect:

วิธียะแกงฮังเล

1. สับหมูบ้านให้เป็นชิ้นเล็กๆ
2. ตั้งกระทะใส่น้ำมันพืช แล้วใส่หมูบ้านลงไปผัดให้สุก
3. ใส่กระเทียมสับ, หอมแดงสับ, พริกไทยป่น, ผงกะหรี่, ผงกระหรี่, ผงป่า, ผงแกงฮังเล ลงไปผัดให้หอม
4. ใส่น้ำปลา, น้ำตาล, น้ำมะขามเปียก, น้ำมะนาว, น้ำพริกเผา ลงไปผัดให้เข้ากัน
5. ใส่เนื้อหมูบ้านลงไปผัดให้เข้ากัน
6. ใส่น้ำลงไปให้พอดี แล้วตั้งไฟอ่อนๆ ให้เดือด
7. ใส่ใบแมงลัก, ใบกระเพรา, ใบโหระพา ลงไป
8. ปรุงรสด้วยน้ำปลา, น้ำตาล, น้ำมะขามเปียก, น้ำมะนาว, น้ำพริกเผา ให้ถูกปาก
9. ตักแกงฮังเลใส่จาน แล้วโรยด้วยผักชี

หมายเหตุ: แกงฮังเลเป็นแกงที่มีรสชาติเปรี้ยว, เค็ม, หวาน, เผ็ด และมีกลิ่นหอมของเครื่องเทศ ถ้าชอบรสชาติแกงฮังเลที่เปรี้ยวมากๆ สามารถเพิ่มน้ำมะขามเปียกได้."," the recipe for aeknghangel in Northern Thai dialect:

withiyaaeknghangel

1. sabhmubanaihepnchinelk-
2. tangkrathaaisnammanphuech aelwaishmubanlngaipphadaihsuk
3. aiskraethiymsab, homaedngsab, phrikaithypn, phngkahri, phngkrahri, phngpa, phngaeknghangel lngaipphadaihhom
4. aisnampla, namtal, nammakhamepiyk, nammanaw, namphrikepha lngaipphadaihekhakan
5. aisenueohmubanlngaipphadaihekhakan
6. aisnamlngaipaihphodi aelwtangaifoon- aihedueod
7. aisaibaemnglak, aibkraephra, aibohrapha lngaip
8. prungrsdwynampla, namtal, nammakhamepiyk, nammanaw, namphrikepha aihthukpak
9. takaeknghangelaischan aelworydwyphakchi

hmayehtu: aeknghangelepnaekngthimirschatiepriyw, ekhm, hwan, ephd aelamiklinhomkhongekhrueongeths thachobrschatiaeknghangelthiepriywmak- samarthephimnammakhamepiykaid.",.
หื้อเขียนวิธียะ น้ำพริกหนุ่ม หื้อเป๋นภาษาเหนือ,"วิธีทำน้ำพริกหนุ่มแบบเหนือ

ส่วนผสม:

1. พริกหนุ่ม 1 กิโลกรัม
2. กระเทียม 5 หัว
3. หอมแดง 2 หัว
4. น้ำปลา 2 ช้อนโต๊ะ
5. น้ำตาลปี๊บ 1 ช้อนโต๊ะ
6. น้ำมะนาว 1 ช้อนโต๊ะ
7. น้ำพริกเผา 1 ช้อนโต๊ะ
8. น้ำปลาร้า 1 ช้อนโต๊ะ
9. ผักชี 1 กำ
10. เกลือป่น 1 ช้อนชา

วิธีทำ:

1. นำพริกหนุ่มไปล้างน้ำให้สะอาด แล้วนำไปตากแดดให้แห้ง
2. นำกระเทียม, หอมแดง, พริกหนุ่มที่ตากแห้งแล้ว ไปโขลกให้ละเอียด
3. นำส่วนผสมที่โขลกแล้ว ใส่ในหม้อ แล้วเติมน้ำปลา, น้ำตาลปี๊บ, น้ำมะนาว, น้ำพริกเผา, น้ำปลาร้า, ผักชี, เกลือป่น
4. คนให้ส่วนผสมเข้ากันดี แล้วชิมรสชาติ ถ้าไม่ถูกปากให้ปรุงเพิ่ม
5. นำน้ำพริกหนุ่มไปตั้งไฟอ่อนๆ ให้เดือด แล้วปิดไฟ
6. นำน้ำพริกหนุ่มไปบรรจุในภาชนะที่สะอาด แล้วเก็บไว้ในตู้เย็น

น้ำพริกหนุ่มที่ทำแล้วสามารถรับประทานกับข้าวเหนียว, ผักสด, หรือเนื้อสัตว์ได้.","withithamnamphrikhnumaebbehnueo

swnphsm:

1. phrikhnum 1 kiolkram
2. kraethiym 5 haw
3. homaedng 2 haw
4. nampla 2 chonota
5. namtalpib 1 chonota
6. nammanaw 1 chonota
7. namphrikepha 1 chonota
8. namplara 1 chonota
9. phakchi 1 kam
10. eklueopn 1 choncha

withitham:

1. namphrikhnumaiplangnamaihsaoad aelwnamaiptakaeddaihaehng
2. namkraethiym, homaedng, phrikhnumthitakaehngaelw aipokhlkaihlaeoiyd
3. namswnphsmthiokhlkaelw aisainhmo aelwetimnampla, namtalpib, nammanaw, namphrikepha, namplara, phakchi, eklueopn
4. khnaihswnphsmekhakandi aelwchimrschati thaaimthukpakaihprungephim
5. namnamphrikhnumaiptangaifoon- aihedueod aelwpidaif
6. namnamphrikhnumaipbrrchuainphachnathisaoad aelwekbaiwaintueyn

namphrikhnumthithamaelwsamarthrabprathankabkhawehniyw, phaksd, hrueoenueosatwaid.",.
หื้อเขียนวิธียะ น้ำพริกอ่อง หื้อเป๋นภาษาเหนือ,"น้ำพริกอ่อง เป็นอาหารที่สำคัญของคนเหนือ มีวิธีทำดังนี้:

1. เตรียมวัตถุดิบ: พริกแห้ง, กระเทียม, หอมแดง, น้ำปลา, น้ำตาล, น้ำมันพืช, น้ำพริกเผา, น้ำมะนาว, ผักชี, ใบแมงลัก, ใบสะระแหน่, เนื้อสัตว์ (เช่น เนื้อหมู, เนื้อวัว, หรือเนื้อไก่)

2. นำพริกแห้งไปคั่วในกระทะจนหอม แล้วนำไปโขลกให้ละเอียด

3. นำกระเทียมและหอมแดงไปโขลกให้ละเอียด

4. นำพริกที่โขลกแล้ว, กระเทียม, หอมแดง, น้ำปลา, น้ำตาล, น้ำมันพืช, น้ำพริกเผา, น้ำมะนาว มาผสมกันในกระทะ แล้วนำไปตั้งไฟอ่อนๆ คั่วจนหอม

5. นำเนื้อสัตว์ที่เตรียมไว้มาตำให้ละเอียด แล้วนำไปผสมกับน้ำพริกที่คั่วแล้ว

6. นำผักชี, ใบแมงลัก, ใบสะระแหน่ มาตำให้ละเอียด แล้วนำไปผสมกับน้ำพริก

7. ปรุงรสด้วยน้ำปลา, น้ำตาล, น้ำมะนาว จนได้รสชาติที่ถูกใจ

8. นำน้ำพริกอ่องที่ทำเสร็จแล้วไปเสิร์ฟกับข้าวเหนียว หรือผักสด

น้ำพริกอ่องที่ทำด้วยวิธีนี้จะมีรสชาติเผ็ดร้อน, หอม, เค็ม, และเปรี้ยว ที่สำคัญคือต้องมีผักชี, ใบแมงลัก, ใบสะระแหน่ เพื่อเพิ่มความหอมและรสชาติ.","namphrikoong epnoaharthisamkhaykhongkhnehnueo miwithithamdangni:

1. etriymwatthudib: phrikaehng, kraethiym, homaedng, nampla, namtal, nammanphuech, namphrikepha, nammanaw, phakchi, aibaemnglak, aibsaraaehn, enueosatw (echn enueohmu, enueowaw, hrueoenueoaik)

2. namphrikaehngaipkhawainkrathachnhom aelwnamaipokhlkaihlaeoiyd

3. namkraethiymaelahomaedngaipokhlkaihlaeoiyd

4. namphrikthiokhlkaelw, kraethiym, homaedng, nampla, namtal, nammanphuech, namphrikepha, nammanaw maphsmkanainkratha aelwnamaiptangaifoon- khawchnhom

5. namenueosatwthietriymaiwmatamaihlaeoiyd aelwnamaipphsmkabnamphrikthikhawaelw

6. namphakchi, aibaemnglak, aibsaraaehn matamaihlaeoiyd aelwnamaipphsmkabnamphrik

7. prungrsdwynampla, namtal, nammanaw chnaidrschatithithukaich

8. namnamphrikoongthithamesrchaelwaipesirfkabkhawehniyw hrueophaksd

namphrikoongthithamdwywithinichamirschatiephdron, hom, ekhm, aelaepriyw thisamkhaykhueotongmiphakchi, aibaemnglak, aibsaraaehn ephueoephimkhwamhomaelarschati.",.
หื้อเขียนวิธียะ แกงหัวปลี หื้อเป๋นภาษาเหนือ,"วิธียะแกงหัวปลี เป๋นภาษาเหนือ:

1. สับหัวปลีให้เล็กๆ แล้วล้างให้สะอาด
2. ตั้งกระทะใส่น้ำมันพืชแล้วร้อนให้เดือด
3. ใส่หัวปลีที่สับแล้วลงไปผัดให้หอม
4. ใส่เครื่องแกงหัวปลี (มะแขว่น, กระเทียม, พริกไทย, ข่า, ตะไคร้) ลงไปผัดให้หอม
5. ใส่น้ำปลา, น้ำตาล, น้ำมะขามเปียก, น้ำมะนาว, น้ำพริกเผา ลงไปผัดให้เข้ากัน
6. ใส่น้ำลงไปแล้วตั้งไฟให้เดือด
7. ใส่ใบมะกรูด, ใบโหระพา, ใบแมงลัก ลงไป
8. รอจนแกงเดือดแล้วใส่หัวปลีลงไป
9. ตั้งไฟให้เดือดอีกครั้งแล้วปิดไฟ
10. ยะแกงหัวปลีเสร็จแล้ว เป๋นแกงหัวปลีที่อร่อยมากๆ

หมายเหตุ: เครื่องแกงหัวปลีสามารถปรับเปลี่ยนได้ตามความชอบของแต่ละคน","withiyaaeknghawpli epnphasaehnueo:

1. sabhawpliaihelk- aelwlangaihsaoad
2. tangkrathaaisnammanphuechaelwronaihedueod
3. aishawplithisabaelwlngaipphadaihhom
4. aisekhrueongaeknghawpli (maaekhwn, kraethiym, phrikaithy, kha, taaikhr) lngaipphadaihhom
5. aisnampla, namtal, nammakhamepiyk, nammanaw, namphrikepha lngaipphadaihekhakan
6. aisnamlngaipaelwtangaifaihedueod
7. aisaibmakrud, aibohrapha, aibaemnglak lngaip
8. rochnaekngedueodaelwaishawplilngaip
9. tangaifaihedueodoikkhrangaelwpidaif
10. yaaeknghawpliesrchaelw epnaeknghawplithioroymak-

hmayehtu: ekhrueongaeknghawplisamarthprabepliynaidtamkhwamchobkhongaetlakhn",.
หื้อเขียนวิธียะ แกงหยวก หื้อเป๋นภาษาเหนือ," the recipe for แกงหยวก in Northern Thai dialect:

1. หื้อเตรียมวัตถุดิบ: หื้อเตรียมเนื้อไก่, หยวก, พริก, กระเทียม, หอมใหญ่, ใบมะกรูด, ใบแมงลัก, น้ำปลา, น้ำตาล, น้ำมันพืช, และน้ำ
2. หื้อทำน้ำพริกแกง: หื้อโขลกพริก, กระเทียม, หอมใหญ่, ใบมะกรูด, และใบแมงลัก จนละเอียด
3. หื้อตั้งกระทะ: หื้อตั้งกระทะใส่น้ำมันพืช แล้วใส่เนื้อไก่ลงไปผัดจนเนื้อไก่สุก
4. หื้อใส่น้ำพริกแกง: หื้อใส่น้ำพริกแกงที่ทำไว้ลงไปผัดจนเข้ากับเนื้อไก่
5. หื้อใส่หยวก: หื้อใส่หยวกลงไปผัดจนหยวกนิ่ม
6. หื้อปรุงรสด้วยน้ำปลา, น้ำตาล, และน้ำ: หื้อปรุงรสด้วยน้ำปลา, น้ำตาล, และน้ำจนรสชาติอร่อย
7. หื้อเสร็จแล้ว: หื้อแกงหยวกเสร็จแล้ว หื้อเสิร์ฟกับข้าวเหนียว

หมายเหตุ: แกงหยวกเป็นอาหารที่มีรสชาติเผ็ดและเปรี้ยว หื้อสามารถปรับรสชาติได้ตามความชอบของหื้อเอง"," the recipe for aeknghywk in Northern Thai dialect:

1. hueoetriymwatthudib: hueoetriymenueoaik, hywk, phrik, kraethiym, homaihy, aibmakrud, aibaemnglak, nampla, namtal, nammanphuech, aelanam
2. hueothamnamphrikaekng: hueookhlkphrik, kraethiym, homaihy, aibmakrud, aelaaibaemnglak chnlaeoiyd
3. hueotangkratha: hueotangkrathaaisnammanphuech aelwaisenueoaiklngaipphadchnenueoaiksuk
4. hueoaisnamphrikaekng: hueoaisnamphrikaekngthithamaiwlngaipphadchnekhakabenueoaik
5. hueoaishywk: hueoaishywklngaipphadchnhywknim
6. hueoprungrsdwynampla, namtal, aelanam: hueoprungrsdwynampla, namtal, aelanamchnrschatioroy
7. hueoesrchaelw: hueoaeknghywkesrchaelw hueoesirfkabkhawehniyw

hmayehtu: aeknghywkepnoaharthimirschatiephdaelaepriyw hueosamarthprabrschatiaidtamkhwamchobkhonghueoeong",.
หื้อเขียนวิธียะ ไส้อั๋ว หื้อเป๋นภาษาเหนือ,"วิธียะไส้อั๋วเป๋นภาษาเหนือ:

1. เริ่มต้นด้วยการเตรียมวัตถุดิบ: อั๋ว, ไส้หมู, กระเทียม, พริกไทย, เกลือ, น้ำปลา, น้ำมันพืช, และผักชี

2. นำกระเทียมและพริกไทยมาบดให้ละเอียด แล้วผสมกับไส้หมู เกลือ น้ำปลา และน้ำมันพืช คนให้เข้ากัน

3. นำอั๋วมาตัดเป็นชิ้นเล็กๆ แล้วนำไปลวกในน้ำร้อนให้สุก

4. นำอั๋วที่ลวกแล้วมาตักไส้หมูที่ผสมไว้แล้วลงไปในอั๋ว แล้วปิดปากอั๋วให้แน่น

5. นำอั๋วที่ไส้แล้วมาต้มในน้ำร้อนให้สุก แล้วตักขึ้นมา

6. นำอั๋วที่ต้มแล้วมาทอดในน้ำมันพืชให้กรอบ

7. นำอั๋วที่ทอดแล้วมาตักใส่จาน แล้วโรยผักชีลงไป

8. เสิร์ฟอั๋วที่ไส้แล้วร้อนๆ พร้อมกับน้ำจิ้มที่ชอบ

หมายเหตุ: การทำอั๋วไส้เป็นภาษาเหนืออาจมีความแตกต่างจากท้องถิ่นไปบ้าง ขึ้นอยู่กับความชอบและวิธีการทำของแต่ละคน","withiyaaisoawepnphasaehnueo:

1. erimtndwykaretriymwatthudib: oaw, aishmu, kraethiym, phrikaithy, eklueo, nampla, nammanphuech, aelaphakchi

2. namkraethiymaelaphrikaithymabdaihlaeoiyd aelwphsmkabaishmu eklueo nampla aelanammanphuech khnaihekhakan

3. namoawmatadepnchinelk- aelwnamaiplwkainnamronaihsuk

4. namoawthilwkaelwmatakaishmuthiphsmaiwaelwlngaipainoaw aelwpidpakoawaihaenn

5. namoawthiaisaelwmatmainnamronaihsuk aelwtakkhuenma

6. namoawthitmaelwmathodainnammanphuechaihkrob

7. namoawthithodaelwmatakaischan aelworyphakchilngaip

8. esirfoawthiaisaelwron- phromkabnamchimthichob

hmayehtu: karthamoawaisepnphasaehnueooachmikhwamaetktangchakthongthinaipbang khuenoyukabkhwamchobaelawithikarthamkhongaetlakhn",.
หื้อเขียนวิธียะ แคบหมู หื้อเป๋นภาษาเหนือ,"วิธีทำแคบหมู (หมูกระเทียม) แบบเหนือ

วัตถุดิบ:

1. หมูสับ 500 กรัม
2. กระเทียม 10 หัว
3. พริกไทย 1 ช้อนโต๊ะ
4. เกลือ 1 ช้อนโต๊ะ
5. น้ำปลา 2 ช้อนโต๊ะ
6. น้ำมันพืช 1 ช้อนโต๊ะ
7. ใบมะกรูด 2 ใบ
8. ต้นหอม 2 ต้น
9. ผักชี 1 กำ

วิธีทำ:

1. นำหมูสับมาบดให้ละเอียด
2. นำกระเทียมมาบดให้ละเอียด
3. นำพริกไทย, เกลือ, น้ำปลา, น้ำมันพืช มาผสมกันให้เข้ากัน
4. นำส่วนผสมที่ได้จากขั้นตอนที่ 3 มาผสมกับหมูสับและกระเทียมที่บดแล้ว
5. นำใบมะกรูด, ต้นหอม, ผักชี มาสับให้ละเอียด แล้วนำมาผสมกับส่วนผสมที่ได้จากขั้นตอนที่ 4
6. นำส่วนผสมทั้งหมดมานวดให้เข้ากัน
7. นำแคบหมูที่ได้มาทำเป็นก้อนเล็กๆ แล้วนำไปทอดในน้ำมันร้อนจนสุก
8. นำแคบหมูที่ทอดแล้วมาตั้งให้เย็น แล้วนำไปเสิร์ฟ

หมายเหตุ: การทำแคบหมูแบบเหนือจะต้องใช้กระเทียมเยอะๆ และต้องมีใบมะกรูด, ต้นหอม, ผักชี เพื่อให้มีรสชาติที่เป็นเอกลักษณ์ของแคบหมูแบบเหนือ","withithamaekhbhmu (hmukraethiym) aebbehnueo

watthudib:

1. hmusab 500 kram
2. kraethiym 10 haw
3. phrikaithy 1 chonota
4. eklueo 1 chonota
5. nampla 2 chonota
6. nammanphuech 1 chonota
7. aibmakrud 2 aib
8. tnhom 2 tn
9. phakchi 1 kam

withitham:

1. namhmusabmabdaihlaeoiyd
2. namkraethiymmabdaihlaeoiyd
3. namphrikaithy, eklueo, nampla, nammanphuech maphsmkanaihekhakan
4. namswnphsmthiaidchakkhantonthi 3 maphsmkabhmusabaelakraethiymthibdaelw
5. namaibmakrud, tnhom, phakchi masabaihlaeoiyd aelwnammaphsmkabswnphsmthiaidchakkhantonthi 4
6. namswnphsmthanghmdmanwdaihekhakan
7. namaekhbhmuthiaidmathamepnkonelk- aelwnamaipthodainnammanronchnsuk
8. namaekhbhmuthithodaelwmatangaiheyn aelwnamaipesirf

hmayehtu: karthamaekhbhmuaebbehnueochatongaichkraethiymeyoa- aelatongmiaibmakrud, tnhom, phakchi ephueoaihmirschatithiepneoklaksnkhongaekhbhmuaebbehnueo",.
หื้อเขียนวิธียะ แกงกระด้าง หื้อเป๋นภาษาเหนือ,"วิธียะแกงกระด้าง เป๋นภาษาเหนือ:

1. นำเนื้อสัตว์ (ไก่, หมู, วัว) มาต้มให้สุก แล้วหั่นเป็นชิ้นเล็กๆ
2. นำพริกแกงกระด้างมาคั่วในกระทะให้หอม แล้วโขลกให้ละเอียด
3. นำกระทะขึ้นตั้งไฟ ใส่น้ำมันพืชลงไป แล้วใส่พริกแกงที่โขลกแล้วลงไปผัดให้หอม
4. ใส่เนื้อสัตว์ที่หั่นแล้วลงไปผัดให้เข้ากับพริกแกง
5. ใส่น้ำลงไปในกระทะ แล้วปรุงรสด้วยน้ำปลา, น้ำตาล, และซอสถั่วเหลือง
6. นำใบกระด้างมาล้างให้สะอาด แล้วใส่ลงไปในกระทะ
7. ต้มให้ใบกระด้างสุก แล้วปรุงรสด้วยน้ำปลา, น้ำตาล, และซอสถั่วเหลืองอีกครั้ง
8. ตักแกงกระด้างใส่จาน แล้วเสิร์ฟกับข้าว

หมายเหตุ: แกงกระด้างเป็นอาหารที่มีรสชาติเผ็ดและเปรี้ยว สามารถปรับระดับความเผ็ดได้ตามความชอบของแต่ละคน","withiyaaekngkradang epnphasaehnueo:

1. namenueosatw (aik, hmu, waw) matmaihsuk aelwhanepnchinelk-
2. namphrikaekngkradangmakhawainkrathaaihhom aelwokhlkaihlaeoiyd
3. namkrathakhuentangaif aisnammanphuechlngaip aelwaisphrikaekngthiokhlkaelwlngaipphadaihhom
4. aisenueosatwthihanaelwlngaipphadaihekhakabphrikaekng
5. aisnamlngaipainkratha aelwprungrsdwynampla, namtal, aelasosthawehlueong
6. namaibkradangmalangaihsaoad aelwaislngaipainkratha
7. tmaihaibkradangsuk aelwprungrsdwynampla, namtal, aelasosthawehlueongoikkhrang
8. takaekngkradangaischan aelwesirfkabkhaw

hmayehtu: aekngkradangepnoaharthimirschatiephdaelaepriyw samarthprabradabkhwamephdaidtamkhwamchobkhongaetlakhn",.
