Input,Pred,Pred_Latin,Gold
"โปรดอ้างอิงถึงข้อความทางลุมพี้และตอบคำถามต่อไปนี้เป็นภาษาอีสาน ให้ตอบโดยใช้แค่ข้อความที่อยู่ในบทความ:
ข้อความ:ปลาน้ำหมึกโคราช หรือ ปลานางอ้าวโคราช เป็นชื่อปลาน้ำจืดชนิดหนึ่ง 
มีชื่อวิทยาศาสตร์ว่า Opsarius koratensis อยู่ในวงศ์ปลาตะเพียน (Cyprinidae) มีรูปร่างเพรียวยาว ปากกว้างปลายแหลม เกล็ดใหญ่ค่อนข้างบาง มีลายขีดข้างลำตัวเล็กสีน้ำเงินตามแนวตั้ง ครีบสีเหลือง มีแต้มสีน้ำเงินหรือสีคล้ำอยู่ตรงกลางระหว่างขากรรไกรล่าง ในฤดูผสมพันธุ์ปลาตัวผู้จะมีสีสันสดใส มีขนาดประมาณ 10 เซนติเมตร
เป็นปลากินเนื้อ อาหารได้แก่ แมลง แมลงน้ำ แพลงก์ตอน ลูกปลา ลูกกุ้งขนาดเล็ก มีพฤติกรรมอาศัยอยู่เป็นฝูงในฤดูผสมพันธุ์ ปลาตัวอ่อนเลี้ยงตัวชายฝั่งของแม่น้ำและลำธารที่อยู่ พบในลำธารในป่าและบริเวณเชิงเขาในภาคเหนือและภาคอีสานของประเทศไทย รวมทั้งพบในแม่น้ำโขงด้วย
เป็นปลาที่พบชุกชุม และเลี้ยงเป็นปลาสวยงาม
มีชื่อเรียกอื่นอีกว่า ""ปลาน้ำหมึก"" หรือ ""ปลาแปบ"" เป็นต้น:
คำถาม: ปลาน้ำหมึกโคราชนิยมเลี้ยงเป็นปลาสวยงามมีชื่อเรียกว่าอะไร
คำตอบ:","Comment: ปลาน้ำหมึกโคราชนิยมเลี้ยงเป็นปลาสวยงามมีชื่อเรียกว่า ""ปลาน้ำหมึก"" หรือ ""ปลาแปบ""","Comment: planamhmuekokhrachniymeliyngepnplaswyngammichueoeriykwa ""planamhmuek"" hrueo ""plaaepb""",ปลาแปบ
"โปรดอ้างอิงถึงข้อความทางลุมพี้และตอบคำถามต่อไปนี้เป็นภาษาอีสาน ให้ตอบโดยใช้แค่ข้อความที่อยู่ในบทความ:
ข้อความ:ปลากัดช้าง หรือ ปลากัดน้ำแดง (ชื่อวิทยาศาสตร์: Betta pi) ปลาน้ำจืดขนาดเล็กชนิดหนึ่ง จัดอยู่ในวงศ์ปลากัด ปลากระดี่ (Osphronemidae)
มีรูปร่างป้อมสั้น ครีบหลังยาว ครีบท้องเป็นเส้นยาว ครีบก้นยาว ปลายครีบเรียวยาว ครีบหางค่อนข้างใหญ่ หัวโต ปากกว้าง เกล็ดใหญ่ ส่วนหัวละลำตัวมีสีน้ำตาลอ่อนหรือสีน้ำตาลแดง มีลายใต้คางซึ่งมีลักษณะเหมือนสัญลักษณ์พาย (π) อันเป็นที่มาของชื่อวิทยาศาสตร์ ใต้ขอบตาเป็นสีส้มเข้มในตัวผู้ ครีบสีจางมีเหลือบสีเขียวอ่อน ปากสีคล้ำ มีรอยสีคล้ำเป็นรูปโค้งและมีแถบ 2 แถบติดกันที่ใต้คางและริมฝีปากล่าง
นับเป็นหนึ่งในปลากัดอมไข่ ที่พบได้ในประเทศไทย จัดเป็นชนิดที่ใหญ่ที่สุด โดยสามารถโตเต็มที่ได้ถึง 12 เซนติเมตร แต่เฉลี่ยทั่วไป 9 เซนติเมตร ซึ่งนับว่าใหญ่ที่สุดด้วยในบรรดาปลากัดทั้งหมดที่พบในประเทศไทย พบในป่าพรุโต๊ะแดง จังหวัดนราธิวาส ของประเทศไทย โดยอาศัยในน้ำที่มีสีชาหรือสีแดง อันเกิดจากการทับถมของซากพืชเป็นเวลานาน และมีค่าความเป็นกรดเป็นด่างค่อนข้างต่ำ (ประมาณ pH 5-6) เป็นปลาที่ไม่ดุร้าย ก้าวร้าว เหมือนพวกปลากัดประเภทก่อหวอด จึงสามารถเลี้ยงรวมกันได้หลาย ๆ ตัว:
คำถาม: ปลากัดช้างมีชื่อทางวิทยาศาสตร์ว่าอะไร
คำตอบ:",ปลากัดช้างมีชื่อทางวิทยาศาสตร์ว่า Betta pi.,plakadchangmichueothangwithyasastrwa Betta pi.,ชื่อวิทยาศาสตร์: Betta pi
"โปรดอ้างอิงถึงข้อความทางลุมพี้และตอบคำถามต่อไปนี้เป็นภาษาอีสาน ให้ตอบโดยใช้แค่ข้อความที่อยู่ในบทความ:
ข้อความ:อาณาจักรมอญ หรือ รามัญประเทศ เป็นอาณาจักรของชนชาติมอญซึ่ง อาจแบ่งได้เป็น 3 ยุค
ยุคแรกคือยุคราชวงศ์สะเทิม อาณาจักรสุธรรมวดี มีกษัตริย์ปกครอง 59 พระองค์ เริ่มจากสมัยพระเจ้าสีหราชา มาจนถึงสมัยพระเจ้ามนูหา เชื่อว่ายุคนี้ครอบครองพื้นที่ได้ ทั้งทวารวดีและสะเทิม ยุคแรกสิ้นสุดลงเมื่อพระเจ้าอโนรธาแห่งอาณาจักรพุกาม ยกทัพมาตีเมืองสะเทิมในสมัยพระเจ้ามนูหะ[1] ซึ่งนักประวัติศาสตร์ไทยบางท่านเชื่อว่าพระเจ้าอโนรธาน่าจะยกมาตีถึงนครปฐม:
คำถาม: อาณาจักรมอญ มีอีกชื่อหนึ่งว่าอะไร
คำตอบ:","Comment: อาณาจักรมอญ หรือ รามัญประเทศ

คำตอบ: อาณาจักรมอญ มีอีกชื่อหนึ่งว่า รามัญประเทศ.","Comment: oanachakrmoy hrueo ramaypraeths

khamtob: oanachakrmoy mioikchueohnuengwa ramaypraeths.",รามัญประเทศ
"โปรดอ้างอิงถึงข้อความทางลุมพี้และตอบคำถามต่อไปนี้เป็นภาษาอีสาน ให้ตอบโดยใช้แค่ข้อความที่อยู่ในบทความ:
ข้อความ:อยากให้รู้...(คิดถึงเธอขนาดไหน) เป็นซิงเกิลแรกของ เอ็ม-อรรถพล ประกอบของ ในปี พ.ศ. 2554 สังกัดค่ายเพลงวีเรคคอร์ดส ในเครือจีเอ็มเอ็ม แกรมมี่ ประพันธ์คำร้องและแต่งทำนองโดย ฟองเบียร์ (ปฏิเวธ อุทัยเฉลิม) และเรียบเรียงโดย ธีระปริญญ์ รัตนบุตร เพลงนี้ออกจำหน่ายในวันที่ 1 กุมภาพันธ์ พ.ศ. 2554:
คำถาม: ค่ายเพลงวีเรคคอร์ดสเป้นเครือของใคร
คำตอบ:",Comment: ค่ายเพลงวีเรคคอร์ดสเป็นเครือของจีเอ็มเอ็ม แกรมมี่.,Comment: khayephlngwierkhkhordsepnekhrueokhongchieomeom aekrmmi.,เครือจีเอ็มเอ็ม แกรมมี่
"โปรดอ้างอิงถึงข้อความทางลุมพี้และตอบคำถามต่อไปนี้เป็นภาษาอีสาน ให้ตอบโดยใช้แค่ข้อความที่อยู่ในบทความ:
ข้อความ:เกิลส์เดย์ (เกาหลี : 걸스 데이 , อังกฤษ : Girl's Day ) เป็นวงดนตรีหญิงล้วนสัญชาติเกาหลีใต้ สังกัด Dream T Entertainment เปิดตัวเมื่อวันที่ 9 กรกฎาคม 2010 ในรายการ มิวสิกแบงก์ เพลงเปิดตัวคือ ""Tilt My Head"" ปัจจุบันมีสมาชิก 4 คน คือ โซจิน มินอา ยูรา ฮเยริ เดบิวท์วันที่ 7 กรกฎาคม พ.ศ. 2553 (9 ปี):
คำถาม: เกิลส์เดย์ สัญชาติอะไร
คำตอบ:",Comment: เกิลส์เดย์ สัญชาติเกาหลีใต้.,Comment: ekilsedy saychatiekahliait.,เกาหลีใต้
"โปรดอ้างอิงถึงข้อความทางลุมพี้และตอบคำถามต่อไปนี้เป็นภาษาอีสาน ให้ตอบโดยใช้แค่ข้อความที่อยู่ในบทความ:
ข้อความ:นิตยสารแฟมิซือ (ญี่ปุ่น: ファミ通, อังกฤษ: Famitsū) หรือในชื่อเดิม แฟมิคอม ซือชิน เป็นนิตยสารวิดีโอเกมที่มีชื่อเสียงในประเทศญี่ปุ่น ผลิตโดย สำนักพิมพ์เอ็นเทอร์เบรน และสำนักพิมพ์โทะคุมะ วางจำหน่ายครั้งแรกเมื่อวันที่ 6 มิถุนายน พ.ศ. 2529 สิ่งพิมพ์ในชื่อแฟมิซือ นอกจากแฟมิซือรายสัปดาห์ที่เป็นหัวหลักแล้ว ยังมีนิตยสารแยกตามประเภทเครื่องเกมต่างๆ ได้แก่ ตระกูลเพลย์สเตชัน ตระกูลนินเทนโด (วีและนินเทนโด ดีเอส) ตระกูลเอ็กซ์บอกซ์ และแฟมิซือ เวฟ นิตยสารรายเดือนที่แนบดีวีดีตัวอย่างเกมไว้ด้วย:
คำถาม: วางจำหน่ายครั้งแรกเมื่อ ?
คำตอบ:","Newspaper: นิตยสารแฟมิซือ (ญี่ปุ่น: ファミ通, อังกฤษ: Famitsū) หรือในชื่อเดิม แฟมิคอม ซือชิน เป็นนิตยสารวิดีโอเกมที่มีชื่อเสียงในประเทศญี่ปุ่น ผลิตโดย สำนักพิมพ์เอ็นเทอร์เบรน และสำนักพิมพ์โทะคุมะ วางจำหน่ายครั้งแรกเมื่อวันที่ 6 มิถุนายน พ.ศ. 2529

Question: วางจำหน่ายครั้งแรกเมื่อ?
Answer: วันที่ 6 มิถุนายน พ.ศ. 2529","Newspaper: nitysaraefmisueo (yipun: fuamiTong, oangkrues: Famitsu) hrueoainchueoedim aefmikhom sueochin epnnitysarwidiooekmthimichueoesiyngainpraethsyipun phlitody samnakphimpheonethorebrn aelasamnakphimphothakhuma wangchamhnaykhrangaerkemueowanthi 6 mithunayn ph.s. 2529

Question: wangchamhnaykhrangaerkemueo?
Answer: wanthi 6 mithunayn ph.s. 2529",วันที่ 6 มิถุนายน พ.ศ. 2529
"โปรดอ้างอิงถึงข้อความทางลุมพี้และตอบคำถามต่อไปนี้เป็นภาษาอีสาน ให้ตอบโดยใช้แค่ข้อความที่อยู่ในบทความ:
ข้อความ:นิตยสารแฟมิซือ (ญี่ปุ่น: ファミ通, อังกฤษ: Famitsū) หรือในชื่อเดิม แฟมิคอม ซือชิน เป็นนิตยสารวิดีโอเกมที่มีชื่อเสียงในประเทศญี่ปุ่น ผลิตโดย สำนักพิมพ์เอ็นเทอร์เบรน และสำนักพิมพ์โทะคุมะ วางจำหน่ายครั้งแรกเมื่อวันที่ 6 มิถุนายน พ.ศ. 2529 สิ่งพิมพ์ในชื่อแฟมิซือ นอกจากแฟมิซือรายสัปดาห์ที่เป็นหัวหลักแล้ว ยังมีนิตยสารแยกตามประเภทเครื่องเกมต่างๆ ได้แก่ ตระกูลเพลย์สเตชัน ตระกูลนินเทนโด (วีและนินเทนโด ดีเอส) ตระกูลเอ็กซ์บอกซ์ และแฟมิซือ เวฟ นิตยสารรายเดือนที่แนบดีวีดีตัวอย่างเกมไว้ด้วย:
คำถาม: เป็นนิตยสารอะไร ?
คำตอบ:","Comment: นิตยสารแฟมิซือ (ญี่ปุ่น: ファミ通, อังกฤษ: Famitsū) หรือในชื่อเดิม แฟมิคอม ซือชิน เป็นนิตยสารวิดีโอเกมที่มีชื่อเสียงในประเทศญี่ปุ่น.

คำตอบ: นิตยสารวิดีโอเกม","Comment: nitysaraefmisueo (yipun: fuamiTong, oangkrues: Famitsu) hrueoainchueoedim aefmikhom sueochin epnnitysarwidiooekmthimichueoesiyngainpraethsyipun.

khamtob: nitysarwidiooekm",นิตยสารวิดีโอเกม
"โปรดอ้างอิงถึงข้อความทางลุมพี้และตอบคำถามต่อไปนี้เป็นภาษาอีสาน ให้ตอบโดยใช้แค่ข้อความที่อยู่ในบทความ:
ข้อความ:กีฬาสกีลงเขาในโอลิมปิกฤดูหนาว 2018 เป็นการแข่งขันกีฬาสกีลงเขาที่จัดขึ้นในเมืองพย็องชัง, ประเทศเกาหลีใต้ กำหนดแข่งขันระหว่างวันที่ 12–24 กุมภาพันธ์ พ.ศ. 2561 โดยได้จัดขึ้นที่ ศูนย์กีฬาสกีลงเขาช็องซ็อน (ความเร็ว) และศูนย์กีฬาสกีลงเขาย็องพย็อง (เทคนิค)[1]

ซึ่งการแข่งขันกีฬาเคอร์ลิงครั้งนี้มีการแข่งขันทั้งหมด 11 รายการ คือ ประเภททีมชาย 5 รายการ, ประเภททีมหญิง 5 รายการ และประเภทผสม 1 รายการ โดยแต่ละรายการจะมีนักกีฬา 322 คน จาก 80 ประเทศ:
คำถาม: กีฬาสกีลงเขาในโอลิมปิกฤดูหนาว 2018 จัดขึ้นที่ประเทศใด
คำตอบ:",Comment: กีฬาสกีลงเขาในโอลิมปิกฤดูหนาว 2018 จัดขึ้นที่ประเทศเกาหลีใต้.,Comment: kilaskilngekhaainoolimpikrueduhnaw 2018 chadkhuenthipraethsekahliait.,ประเทศเกาหลีใต้ 
"โปรดอ้างอิงถึงข้อความทางลุมพี้และตอบคำถามต่อไปนี้เป็นภาษาอีสาน ให้ตอบโดยใช้แค่ข้อความที่อยู่ในบทความ:
ข้อความ:โรงเรียนแวงน้อยศึกษา เป็นโรงเรียนในสังกัดสำนักงานการศึกษาขั้นพื้นฐาน เขตพื้นที่การศึกษาขอนแก่น เขต 3 เปิดทำการสอนครั้งแรกเมื่อวันที่ 10 มิถุนายน 2517 โดยรับนักเรียนในระดับชั้นมัธยมศึกษา(เดิม) ตอนต้น แบบสหศึกษาจำนวน 2 ห้องเรียน จำนวน 63 คน โดยอาศัยเรียนอยู่ที่อาคารการศึกษาผู้ใหญ่วัดสุวรรณาราม มีนายสมควร จิตแสงรักษาการครูใหญ่ ปัจจุบันโรงเรียนแวงน้อยศึกษาตั้งอยู่หมู่ที่ 12 บ้านศรีเมือง ตำบลแวงน้อย อำเภอแวงน้อย จังหวัดขอนแก่น มีเนื้อที่ 45 ไร่ 95 ตารางวา เขตพื้นที่ให้บริการ 4 ตำบล ได้แก่ ตำบลแวงน้อย ตำบลท่าวัด ตำบลทางขวาง และตำบลละหานนา โดยเปิดสอนในระดับช่วงชั้นที่ 3 และ 4 แบบ สหศึกษา นักเรียนเดินทางไปกลับ จำนวน 25 ห้องเรียน 984 คน:
คำถาม: โรงเรียนแวงน้อยศึกษา เปิดทำการสอนครั้งแรกเมื่อวันที่เท่าไร
คำตอบ:",โรงเรียนแวงน้อยศึกษา เปิดทำการสอนครั้งแรกเมื่อวันที่ 10 มิถุนายน 2517,orngeriynaewngnoysueksa epidthamkarsonkhrangaerkemueowanthi 10 mithunayn 2517,10 มิถุนายน 2517
"โปรดอ้างอิงถึงข้อความทางลุมพี้และตอบคำถามต่อไปนี้เป็นภาษาอีสาน ให้ตอบโดยใช้แค่ข้อความที่อยู่ในบทความ:
ข้อความ:บาร์บูดา (อังกฤษ: Barbuda) เป็นเกาะในทะเลแคริบเบียนตะวันตก ส่วนหนึ่งของประเทศแอนติกาและบาร์บูดา เกาะมีประชากรราว 1,638 คน (ค.ศ. 2011) ประชากรส่วนใหญ่อาศัยอยู่ในเมืองคอดริงตัน (Codrington):
คำถาม: บาร์บูดาคืออะไร
คำตอบ:",Comment: บาร์บูดา เป็นเกาะในทะเลแคริบเบียนตะวันตก ส่วนหนึ่งของประเทศแอนติกาและบาร์บูดา.,Comment: barbuda epnekaaainthaelaekhribebiyntawantk swnhnuengkhongpraethsaeontikaaelabarbuda.,เกาะในทะเลแคริบเบียนตะวันตก ส่วนหนึ่งของประเทศแอนติกาและบาร์บูดา
