Input,Pred,Pred_Latin,Gold
"แปลข้อความต่อไปนี้จาก ภาษาอีสาน เป็น ภาษาอังกฤษ ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: ซุมนักเรียนมักไปย่างเล่นนำอาจารย์ยามมื้อแลง ย้อนอากาศเย็นสบาย ได้ออกกำลังกายและป่าไม้รอบๆ หม่องย่างก็เฮ็ดให้อากาศดีหลายคัก
คำแปล:","The students like to go for a walk with the teacher in the evening because the weather is cool and comfortable. They get to exercise, and the surrounding forest makes the air very good.","The students like to go for a walk with the teacher in the evening because the weather is cool and comfortable. They get to exercise, and the surrounding forest makes the air very good.","The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing."
"แปลข้อความต่อไปนี้จาก ภาษาอีสาน เป็น ภาษาอังกฤษ ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: ขับรถเครื่องไปซื้อกาแฟหน้าปากซอย แต่ก็พ้อว่าร้านประจำที่มักกินปิดไปแล้ว ก็เลยขับรถไปรถไปซื้อร้านใหม่ บ่แซบเลย สิบ่ไปซื้ออีกแล้ว
คำแปล:","I rode my motorcycle to buy coffee at the entrance of the alley, but found that my regular shop was closed. So I rode to a new shop, but it wasn't tasty at all. I won't buy from there again.","I rode my motorcycle to buy coffee at the entrance of the alley, but found that my regular shop was closed. So I rode to a new shop, but it wasn't tasty at all. I won't buy from there again.","I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again."
"แปลข้อความต่อไปนี้จาก ภาษาอีสาน เป็น ภาษาอังกฤษ ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: ข้อยอยากสอบเข้าโรงเรียนสวนกุหลาบย้อนคึดว่าเป็นโรงเรียนที่ดี ข้อยเลยตั้งใจเรียนหลายๆ ให้สอบเข้าหม่องนี้ให้ได้ สุดท้ายสอบบ่ติด เสียใจคัก
คำแปล:","I wanted to take the entrance exam for Suankularb School because I thought it was a good school. So I studied very hard to get in. In the end, I didn't pass the exam. I was very disappointed.","I wanted to take the entrance exam for Suankularb School because I thought it was a good school. So I studied very hard to get in. In the end, I didn't pass the exam. I was very disappointed.","I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed."
"แปลข้อความต่อไปนี้จาก ภาษาอีสาน เป็น ภาษาอังกฤษ ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: หมู่รอบโตมักไปเที่ยวเมืองนอก แต่รู้สึกเสียดายเงิน เลยไปเที่ยวทะเลในไทยแทน อากาศก็ดี ราคาก็ถืก ดีก่อนหลาย เป็นหยังต้องไปเมืองนอกนำบ่เข้าใจ
คำแปล:","My friends like to travel abroad, but they feel it's a waste of money, so they go to the sea in Thailand instead. The weather is good, the price is cheap, it's much better. Why do they have to go abroad, I don't understand.","My friends like to travel abroad, but they feel it's a waste of money, so they go to the sea in Thailand instead. The weather is good, the price is cheap, it's much better. Why do they have to go abroad, I don't understand.","My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad."
"แปลข้อความต่อไปนี้จาก ภาษาอีสาน เป็น ภาษาอังกฤษ ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: [ซุม]ขะเจ้ากำลังซอยกันเฮ็ดความสะอาดเฮือนย้อนเฮือนมีแต่โคลนเต็มไปเบิด หลังจากเกิดเหตุการณ์น้ำท่วมตอนอาทิตย์ที่ผ่านมา ต้องเฮ็ดความสะอาดอีกดนเลย
คำแปล:",The group is helping each other clean the house because it is full of mud after the flood last week. It will take a long time to clean.,The group is helping each other clean the house because it is full of mud after the flood last week. It will take a long time to clean.,They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.
"แปลข้อความต่อไปนี้จาก ภาษาอีสาน เป็น ภาษาอังกฤษ ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: พ่อกับแม่มักไปเฮ็ดเวียกหม่องสวนหลายย้อนบรรยากาศดีและสงบ รวมไปถึงวิวภูเขาก็งามป่านหลุดไปอีกโลก
คำแปล:","Dad and mom often go to work in the garden because the atmosphere is good and peaceful. Including the mountain view, it's as beautiful as being in another world.","Dad and mom often go to work in the garden because the atmosphere is good and peaceful. Including the mountain view, it's as beautiful as being in another world.","Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world."
"แปลข้อความต่อไปนี้จาก ภาษาอีสาน เป็น ภาษาอังกฤษ ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: เมนูน้ำพริกหนุ่มแมนอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ พริกชี้ฟ้า หอมแดง กระเทียม
คำแปล:","Nam Prik Noom is a famous dish of the northern region, with main ingredients being chili, shallots, and garlic.","Nam Prik Noom is a famous dish of the northern region, with main ingredients being chili, shallots, and garlic.","Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic."
"แปลข้อความต่อไปนี้จาก ภาษาอีสาน เป็น ภาษาอังกฤษ ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: หมู่เฮาตอนเที่ยงมีไผอยากไปกินตำบักหุ่งร้านครัวคุณกรบ่?
คำแปล:","Our group at noon, does anyone want to go eat papaya salad at Khun Korn's kitchen?","Our group at noon, does anyone want to go eat papaya salad at Khun Korn's kitchen?",Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?
"แปลข้อความต่อไปนี้จาก ภาษาอีสาน เป็น ภาษาอังกฤษ ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: มื้อนี้ตื่นเช้าหลายย้อนสิไปเบิ่งแข่งวิ่งควาย อากาศร้อนแฮง เมือเฮือนมาเลยนอนพักย้อนปวดหัว
คำแปล:","This morning I woke up very early because I was going to watch the buffalo race. The weather was very hot. When I got home, I took a nap because I had a headache.","This morning I woke up very early because I was going to watch the buffalo race. The weather was very hot. When I got home, I took a nap because I had a headache.","I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache."
"แปลข้อความต่อไปนี้จาก ภาษาอีสาน เป็น ภาษาอังกฤษ ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: เป็นหยังข้อยต้องเฮ็ดงานนี้อีกแล้ว แก้มาหลายเทือแล้ว บ่แล้วจักเทือ คนสั่งให้แก้ก็บ่ฮู้ว่าเจ้าของเฮ็ดอิหยังอยู่ ข้อยเหมื่อยแฮง
คำแปล:","Why do I have to do this work again? I've fixed it many times already, but it's never right. The person who orders the fixes doesn't even know what they're doing. I'm very tired.","Why do I have to do this work again? I've fixed it many times already, but it's never right. The person who orders the fixes doesn't even know what they're doing. I'm very tired.","Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted."
