Input,Pred,Pred_Latin,Gold
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing.
คำแปล:",กลุ่มของนักเรียนชอบเดินเล่นในตอนเย็นกับครูของพวกเขาเพราะอากาศเย็นสบาย พวกเขาจะได้ออกกำลังกาย และต้นไม้รอบๆ ทางเดินทำให้อากาศรู้สึกเย็นสบายมาก,klumkhongnakeriynchobedinelnaintoneynkabkhrukhongphwkekhaephraaoakaseynsbay phwkekhachaaidookkamlangkay aelatnaimrob- thangedinthamaihoakasrusuekeynsbaymak,กลุ่มนักเรียนชอบไปเดินเล่นกับอาจารย์ในช่วงเย็น เพราะอากาศมันเย็นสบาย ได้ออกกำลังกายและป่าไม้รอบๆทางเดินก็ทำให้อากาศดีมากๆด้วย
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again.
คำแปล:",ฉันขับรถจักรยานยนต์ไปซื้อเครื่องดื่มกาแฟที่ทางเข้าซอย แต่พบว่าร้านที่ชอบของฉันปิดไปแล้ว ดังนั้น ฉันจึงไปลองร้านใหม่แทน แต่ไม่ดีเลย ฉันจะไม่ไปซื้อไปที่นั่นอีก,chankhabrthchakryanyntaipsueoekhrueongduemkaaefthithangekhasoy aetphbwaranthichobkhongchanpidaipaelw dangnan chanchuengaiplongranaihmaethn aetaimdiely chanchaaimaipsueoaipthinanoik,ขับรถมอเตอร์ไซไปซื้อกาแฟที่หน้าปากซอย แต่ก็พบว่าร้านประจำที่ชอบกินมันปิดไปแล้ว ก็เลยขับรถไปซื้อร้านใหม่ ไม่อร่อยเลย จะไม่ไปซื้ออีกแล้ว
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed.
คำแปล:",ฉันต้องการเข้าเรียนโรงเรียนสวนกุหลาบเพราะฉันคิดว่าโรงเรียนนั้นเป็นโรงเรียนที่ดีมาก ดังนั้น ฉันจึงเรียนหนักเพื่อผ่านการสอบเข้าโรงเรียน แต่ในที่สุดฉันก็ไม่ผ่าน และฉันรู้สึกผิดหวังมาก,chantongkarekhaeriynorngeriynswnkuhlabephraachankhidwaorngeriynnanepnorngeriynthidimak dangnan chanchuengeriynhnakephueophankarsobekhaorngeriyn aetainthisudchankaimphan aelachanrusuekphidhwangmak,ฉันอยากสอบเข้าโรงเรียนสวนกุหลาบเพราะคิดว่าเป็นโรงเรียนที่ดี ฉันเลยตั้งใจเรียนมากๆเพื่อที่จะสอบเข้าที่นี้ให้ได้ สุดท้ายสอบไม่ติด เสียใจมาก
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad.
คำแปล:",เพื่อนๆ ของฉันชอบเดินทางไปต่างประเทศ แต่ฉันรู้สึกว่ามันคือการเสียเงินเปล่า ฉันจึงชอบไปที่ชายหาดในประเทศไทยมากกว่า อากาศดี มีราคาถูก มันคือสิ่งที่ดีกว่ามาก ฉันไม่เข้าใจว่าทำไมคนถึงไปต่างประเทศ,ephueon- khongchanchobedinthangaiptangpraeths aetchanrusuekwamankhueokaresiyenginepla chanchuengchobaipthichayhadainpraethsaithymakkwa oakasdi mirakhathuk mankhueosingthidikwamak chanaimekhaaichwathamaimkhnthuengaiptangpraeths,เพื่อนๆรอบตัวชอบไปเที่ยวเมืองนอก แต่รู้สึกเสียดายเงิน เลยไปเที่ยวทะเลในไทยแทน อากาศก็ดี ราคาก็ถูก ดีกว่าเยอะ ทำไมต้องไปเมืองนอกกันด้วย ไม่เข้าใจ
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.
คำแปล:",พวกเขาอยู่ช่วยกันทำความสะอาดบ้านเพราะบ้านมีฝุ่นและน้ำขังหลังจากเกิดน้ำท่วมเมื่อสัปดาห์ที่แล้ว จะต้องใช้เวลานานในการทำความสะอาด,phwkekhaoyuchwykanthamkhwamsaoadbanephraabanmifunaelanamkhanghlangchakekidnamthwmemueosapdahthiaelw chatongaichewlananainkarthamkhwamsaoad,พวกเขากำลังช่วยกันทำความสะอาดบ้านเพราะที่บ้านมีแต่โคลนเต็มไปหมด หลังจากเกิดเหตุการณ์น้ำท่วมเมื่ออาทิตย์ที่ผ่านมา  ต้องทำความสะอาดอีกนานเลย
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world.
คำแปล:",พ่อแม่ชอบทำงานในสวนเพราะบรรยากาศดีและสงบสุข นอกจากนี้ยังมีทิวทัศน์ของภูเขา ที่ทำให้รู้สึกเหมือนกำลังเดินเข้าไปในโลกอื่น,phoaemchobthamnganainswnephraabrryakasdiaelasngbsukh nokchakniyangmithiwthasnkhongphuekha thithamaihrusuekehmueonkamlangedinekhaaipainolkouen,พ่อกับแม่ชอบไปทำงานที่สวนมากเพราะที่สวนบรรยากาศดีและสงบ รวมไปถึงวิวภูเขาที่ดูสวยงามเหมือนหลุดเข้าไปอีกโลก
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic.
คำแปล:",น้ำพริกหนุ่ม เป็นอาหารที่มีชื่อเสียงจากภาคเหนือ โดยมีส่วนผสมหลัก ได้แก่ พริกไทย หอมแดง และหอมแดง,namphrikhnum epnoaharthimichueoesiyngchakphakhehnueo odymiswnphsmhlak aidaek phrikaithy homaedng aelahomaedng,เมนูน้ำพริกหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ พริกชี้ฟ้า หอมเแดง กระเทียม 
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?
คำแปล:",ใครสนใจมาคนั่งรับประทานสลัดมะละกอและไก่อบที่ Khun Korn's Kitchen สำหรับอาหารกลางวัน,aikhrsnaichmakhnangrabprathansladmalakoaelaaikobthi Khun Korn's Kitchen samhraboaharklangwan,พวกเราตอนเที่ยงมีใครสนใจไปกินส้มตำไก่ย่างที่ร้านครัวคุณกรไหม?
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache.
คำแปล:",ฉันตื่นขึ้นมาเมื่อเช้าตรู่เพื่อไปดูการแข่งควาย แต่สภาพอากาศร้อนจัดมากเมื่อฉันกลับบ้าน ฉันเลยต้องพักผ่อนเพราะมีหัวใจวาย,chantuenkhuenmaemueoechatruephueoaipdukaraekhngkhway aetsphaphoakasronchadmakemueochanklabban chanelytongphakphonephraamihawaichway,วันนี้ตื่นเช้ามากเพราะจะไปดูแข่งวิ่งควาย อากาศร้อนมาก กลับบ้านมาเลยนอนพักเพราะปวดหัว 
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted.
คำแปล:",ทำไมฉันต้องทำงานนี้อีกครั้ง ฉันแก้ไขมันหลายครั้งแล้ว แต่ก็ยังไม่เสร็จสิ้น ใครที่ต้องการให้ฉันแก้ไขอีกก็ไม่รู้ว่าพวกเขากำลังทำอะไร ฉันเหนื่อยมาก,thamaimchantongthamngannioikkhrang chanaekaikhmanhlaykhrangaelw aetkyangaimesrchsin aikhrthitongkaraihchanaekaikhoikkaimruwaphwkekhakamlangthamoaair chanehnueoymak,ทำไมฉันต้องทำงานนี้อีกแล้ว แก้มาหลายรอบแล้ว ไม่เสร็จสักที คนสั่งให้แก้ก็ไม่รู้ว่าตัวเองทำอะไรอยู่ ฉันเหนื่อยมากนะ
