Input,Pred,Pred_Latin,Gold
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing.
คำแปล:",กลุ่มนักเรียนชอบไปเดินเล่นตอนเย็นกับครูของพวกเขาเพราะอากาศเย็นสบาย พวกเขาได้ออกกำลังกายบ้าง และต้นไม้รอบๆ ทางเดินทำให้อากาศรู้สึกสดชื่นมาก,klumnakeriynchobaipedinelntoneynkabkhrukhongphwkekhaephraaoakaseynsbay phwkekhaaidookkamlangkaybang aelatnaimrob- thangedinthamaihoakasrusueksdchuenmak,กลุ่มนักเรียนชอบไปเดินเล่นกับอาจารย์ในช่วงเย็น เพราะอากาศมันเย็นสบาย ได้ออกกำลังกายและป่าไม้รอบๆทางเดินก็ทำให้อากาศดีมากๆด้วย
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again.
คำแปล:",ฉันขี่มอเตอร์ไซค์ไปซื้อกาแฟที่ปากซอย แต่พบว่าร้านโปรดของฉันปิด ดังนั้นฉันจึงไปลองร้านใหม่แทน มันไม่ดีเลย ฉันจะไม่ไปซื้อที่นั่นอีกแล้ว,chankhimoetoraiskhaipsueokaaefthipaksoy aetphbwaranoprdkhongchanpid dangnanchanchuengaiplongranaihmaethn manaimdiely chanchaaimaipsueothinanoikaelw,ขับรถมอเตอร์ไซไปซื้อกาแฟที่หน้าปากซอย แต่ก็พบว่าร้านประจำที่ชอบกินมันปิดไปแล้ว ก็เลยขับรถไปซื้อร้านใหม่ ไม่อร่อยเลย จะไม่ไปซื้ออีกแล้ว
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed.
คำแปล:",ฉันอยากเข้าโรงเรียนสวนกุหลาบเพราะคิดว่าเป็นโรงเรียนที่ดีมาก ดังนั้นฉันจึงตั้งใจเรียนอย่างหนักเพื่อสอบเข้าให้ได้ สุดท้ายฉันก็ไม่ผ่านและรู้สึกผิดหวังมาก,chanoyakekhaorngeriynswnkuhlabephraakhidwaepnorngeriynthidimak dangnanchanchuengtangaicheriynoyanghnakephueosobekhaaihaid sudthaychankaimphanaelarusuekphidhwangmak,ฉันอยากสอบเข้าโรงเรียนสวนกุหลาบเพราะคิดว่าเป็นโรงเรียนที่ดี ฉันเลยตั้งใจเรียนมากๆเพื่อที่จะสอบเข้าที่นี้ให้ได้ สุดท้ายสอบไม่ติด เสียใจมาก
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad.
คำแปล:",เพื่อนๆ ของฉันทุกคนชอบเดินทางไปต่างประเทศ แต่ฉันรู้สึกว่ามันเป็นการเสียเงินเปล่า ดังนั้นฉันจึงชอบไปชายหาดในประเทศไทยมากกว่า อากาศดี ราคาถูก มันดีกว่ามาก! ฉันไม่เข้าใจจริงๆ ว่าทำไมผู้คนถึงไปต่างประเทศ,ephueon- khongchanthukkhnchobedinthangaiptangpraeths aetchanrusuekwamanepnkaresiyenginepla dangnanchanchuengchobaipchayhadainpraethsaithymakkwa oakasdi rakhathuk mandikwamak! chanaimekhaaichchring- wathamaimphukhnthuengaiptangpraeths,เพื่อนๆรอบตัวชอบไปเที่ยวเมืองนอก แต่รู้สึกเสียดายเงิน เลยไปเที่ยวทะเลในไทยแทน อากาศก็ดี ราคาก็ถูก ดีกว่าเยอะ ทำไมต้องไปเมืองนอกกันด้วย ไม่เข้าใจ
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.
คำแปล:",พวกเขากำลังช่วยกันทำความสะอาดบ้านเพราะมันเต็มไปด้วยโคลนหลังจากเหตุการณ์น้ำท่วมเมื่อสัปดาห์ที่แล้ว มันจะใช้เวลานานในการทำความสะอาด,phwkekhakamlangchwykanthamkhwamsaoadbanephraamanetmaipdwyokhlnhlangchakehtukarnnamthwmemueosapdahthiaelw manchaaichewlananainkarthamkhwamsaoad,พวกเขากำลังช่วยกันทำความสะอาดบ้านเพราะที่บ้านมีแต่โคลนเต็มไปหมด หลังจากเกิดเหตุการณ์น้ำท่วมเมื่ออาทิตย์ที่ผ่านมา  ต้องทำความสะอาดอีกนานเลย
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world.
คำแปล:",พ่อและแม่ชอบทำงานในสวนเพราะบรรยากาศดีและเงียบสงบ แถมยังมีวิวภูเขาที่สวยงามซึ่งให้ความรู้สึกเหมือนก้าวเข้าสู่อีกโลกหนึ่ง,phoaelaaemchobthamnganainswnephraabrryakasdiaelaengiybsngb aethmyangmiwiwphuekhathiswyngamsuengaihkhwamrusuekehmueonkawekhasuoikolkhnueng,พ่อกับแม่ชอบไปทำงานที่สวนมากเพราะที่สวนบรรยากาศดีและสงบ รวมไปถึงวิวภูเขาที่ดูสวยงามเหมือนหลุดเข้าไปอีกโลก
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic.
คำแปล:",น้ำพริกหนุ่มเป็นอาหารที่มีชื่อเสียงจากภาคเหนือ โดยมีส่วนผสมหลักได้แก่ พริก หอมแดง และกระเทียม,namphrikhnumepnoaharthimichueoesiyngchakphakhehnueo odymiswnphsmhlakaidaek phrik homaedng aelakraethiym,เมนูน้ำพริกหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ พริกชี้ฟ้า หอมเแดง กระเทียม 
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?
คำแปล:",มีใครสนใจไปร่วมทานส้มตำและไก่ย่างที่ครัวคุณกรตอนเที่ยงไหม?,miaikhrsnaichaiprwmthansmtamaelaaikyangthikhrawkhunkrtonethiyngaihm?,พวกเราตอนเที่ยงมีใครสนใจไปกินส้มตำไก่ย่างที่ร้านครัวคุณกรไหม?
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache.
คำแปล:",วันนี้ฉันตื่นเช้ามากเพื่อไปดูการแข่งควาย อากาศร้อนมากจนเมื่อกลับถึงบ้าน ฉันต้องพักผ่อนเพราะปวดหัว,wannichantuenechamakephueoaipdukaraekhngkhway oakasronmakchnemueoklabthuengban chantongphakphonephraapwdhaw,วันนี้ตื่นเช้ามากเพราะจะไปดูแข่งวิ่งควาย อากาศร้อนมาก กลับบ้านมาเลยนอนพักเพราะปวดหัว 
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted.
คำแปล:",ทำไมฉันต้องทำงานนี้อีกครั้ง? ฉันแก้ไขมันหลายครั้งแล้ว แต่มันก็ไม่เคยเสร็จ คนที่คอยขอให้แก้ไขก็ไม่รู้ด้วยซ้ำว่าพวกเขากำลังทำอะไรอยู่ ฉันเหนื่อยมาก,thamaimchantongthamngannioikkhrang? chanaekaikhmanhlaykhrangaelw aetmankaimekhyesrch khnthikhoykhoaihaekaikhkaimrudwysamwaphwkekhakamlangthamoaairoyu chanehnueoymak,ทำไมฉันต้องทำงานนี้อีกแล้ว แก้มาหลายรอบแล้ว ไม่เสร็จสักที คนสั่งให้แก้ก็ไม่รู้ว่าตัวเองทำอะไรอยู่ ฉันเหนื่อยมากนะ
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I bought fried chicken for my friend, but I was too hungry, so I ate it instead. My friend didn’t mind and even reheated it for me. Such a kind friend!
คำแปล:",ฉันซื้อไก่ทอดให้เพื่อน แต่ฉันหิวเกินไป เลยกินมันแทน เพื่อนไม่ว่าอะไรและยังอุ่นให้ฉันอีกด้วย เป็นเพื่อนที่ใจดีจริงๆ!,chansueoaikthodaihephueon aetchanhiwekinaip elykinmanaethn ephueonaimwaoaairaelayangounaihchanoikdwy epnephueonthiaichdichring-!,ฉันซื้อไก่ทอดมาฝากเพื่อน แต่หิวเกินเลยเอาของเพื่อนมากิน เพื่อนไม่ว่าแถมเอาไก่ไปอุ่นให้อีกด้วย เพื่อนเป็นคนดีจริงๆ
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I never knew before that Beer was so good at rock climbing. It’s impressive, and I’ll use him as an example of discipline and consistency in exercise.
คำแปล:",ฉันไม่เคยรู้มาก่อนเลยว่าเบียร์เก่งในการปีนผาหินมาก มันน่าประทับใจ และฉันจะใช้เขาเป็นตัวอย่างของความมีวินัยและความสม่ำเสมอในการออกกำลังกาย,chanaimekhyrumakonelywaebiyrekngainkarpinphahinmak mannaprathabaich aelachanchaaichekhaepntawoyangkhongkhwammiwinayaelakhwamsmamesmoainkarookkamlangkay,ฉันไม่เคยรู้มาก่อนเลยว่าพี่เบียร์จะเป็นคนที่ปีนผาได้เก่งขนาดนี้ น่าทึ่งมาก และจะเอาเขาเป็นแบบอย่างของความมีวินัยและสม่ำเสมอในการออกกำลังกาย
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Some people like to collect luxury watches, while others prefer designer bags. In the end, you can’t take any of it with you when you die.
คำแปล:",บางคนชอบสะสมเรือนหรู ในขณะที่บางคนชอบกระเป๋าแบรนด์เนม สุดท้ายแล้วคุณก็ไม่สามารถเอาอะไรติดตัวไปได้เมื่อคุณตาย,bangkhnchobsasmerueonhru ainkhnathibangkhnchobkraepaaebrndenm sudthayaelwkhunkaimsamartheoaoaairtidtawaipaidemueokhuntay,บางคนชอบสะสมนาฬิกาหรู แต่บางคนชอบสะสมกระเป๋าแบรนด์เนม สุดท้ายตายไปก็เอาไปไม่ได้
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: On rainy days, you have to take an umbrella, but today, Gam forgot hers. So, she stayed home and relaxed.
คำแปล:",ในวันที่ฝนตก คุณต้องเอาร่มไปด้วย แต่วันนี้แก้มลืมร่มของเธอ ดังนั้นเธอจึงอยู่บ้านและพักผ่อน,ainwanthifntk khuntongeoarmaipdwy aetwanniaekmluemrmkhongetho dangnanethochuengoyubanaelaphakphon,วันที่ฝนตกจะต้องนำร่มออกไปด้วย แต่วันนี้น้องแก้มลืมเอาร่มมา ดังนั้นน้องแก้มจึงนอนเล่นอยู่บ้าน
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: There are two kinds of stomach aches: one where you need to use the bathroom, and a real one that needs medical attention. After that, you bring a medical certificate to the teacher for a leave of absence.
คำแปล:",มีอาการปวดท้องสองประเภท: ประเภทหนึ่งที่คุณต้องใช้ห้องน้ำ และอีกประเภทหนึ่งที่ต้องการการดูแลทางการแพทย์ หลังจากนั้นคุณต้องนำใบรับรองแพทย์มาให้ครูเพื่อขอลาหยุด,mioakarpwdthongsongpraephth: praephthhnuengthikhuntongaichhongnam aelaoikpraephthhnuengthitongkarkarduaelthangkaraephthy hlangchaknankhuntongnamaibrabrongaephthymaaihkhruephueokholahyud,ปวดท้องมีอยู่ 2 อย่างคือ ปวดท้องขี้ กับ กับปวดท้องจริงๆ ที่ต้องไปหาหมอ จากนั้นเอาใบรับรองแพทย์มาให้อาจารย์ เพื่อใช้ในการลาเรียน
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: People who like to tease others are no-good. If you want to be a good person, don’t tease others. But Korn often gets teased, which makes him shout, ""What the heck is your problem?""
คำแปล:","คนที่ชอบแกล้งคนอื่นเป็นคนไม่ดี ถ้าคุณอยากเป็นคนดี อย่าแกล้งคนอื่น แต่กรมักจะโดนแกล้ง ซึ่งทำให้เขาตะโกนว่า ""ปัญหาของคุณคืออะไร?""","khnthichobaeklngkhnouenepnkhnaimdi thakhunoyakepnkhndi oyaaeklngkhnouen aetkrmakchaodnaeklng suengthamaihekhataoknwa ""payhakhongkhunkhueooaair?""","คนที่ชอบแกล้งคนอื่นคือคนไม่รักดี ถ้าอยากเป็นคนดี ต้องไม่แกล้งคนอื่น แต่น้องกรโดนแกล้งบ่อยๆ เลย ทำให้น้องกร ตะโกนว่า ""มึงเป็นเหี้ยอะไร"""
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Your cow is very spirited, kicking up the dirt non-stop. It shows it’s ready to fight.
คำแปล:",วัวของคุณมีความกระตือรือร้นมาก เตะดินไม่หยุด แสดงว่ามันพร้อมที่จะสู้,wawkhongkhunmikhwamkratueorueornmak etadinaimhyud aesdngwamanphromthichasu,วัวของคุณคึกคะนองมากตะกุยดินไม่หยุดเลย แสดงว่ามันอยากจะต่อสู้กันแล้ว
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: How could you not feel hot and cold flashes? You made a mistake, and your wife found out.
คำแปล:",คุณไม่รู้สึกร้อนและหนาวสลับกันได้อย่างไร? คุณทำผิดพลาด และภรรยาของคุณก็รู้เรื่องนี้แล้ว,khunaimrusuekronaelahnawslabkanaidoyangair? khunthamphidphlad aelaphrryakhongkhunkruerueongniaelw,คุณจะไม่รู้สึกสะบัดร้อนสะบัดหนาวขึ้นมาได้อย่างไรเล่า เพราะคุณทำผิดแล้วเมียจับได้
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: That dog crossed the road with grilled pork in its mouth, heading to its puppies. The scene was heartwarming and touching.
คำแปล:",สุนัขตัวนั้นข้ามถนนพร้อมกับหมูปิ้งในปาก มุ่งหน้าไปหาลูกสุนัขของมัน ฉากนั้นช่างอบอุ่นและน่าประทับใจ,sunakhtawnankhamthnnphromkabhmupingainpak munghnaaiphaluksunakhkhongman chaknanchangobounaelanaprathabaich,สุนัขตัวนั้นเดินข้ามถนนพร้อมหมูปิ้งในปาก มุ่งหน้าไปหาลูกๆ ของมัน ภาพที่เห็นช่างน่าสงสารและจับใจ
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I caught this big fish yesterday, and most of the fish I catch on the line tend to be female fish.
คำแปล:",เมื่อวานฉันจับปลาใหญ่ตัวนี้ได้ และปลาส่วนใหญ่ที่ฉันจับได้มักจะเป็นปลาตัวเมีย,emueowanchanchabplaaihytawniaid aelaplaswnaihythichanchabaidmakchaepnplatawemiy,ปลาตัวโตนี้ผมตกเบ็ดได้มาเมื่อวานและปลาที่ติดเบ็ดลากนี้ส่วนมากมักจะเป็นแม่ปลา
