Input,Pred,Pred_Latin,Gold
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing.
คำแปล:"," the group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing.

คำแปล: กลุ่มนักเรียนชอบไปเดินเที่ยวในตอนเย็นกับครูของพวกเขาเพราะอากาศเย็นสบาย พวกเขาได้รับการออกกำลังกาย และต้นไม้รอบๆทางเดินทำให้อากาศรู้สึกสดชื่นมาก"," the group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing.

khamaepl: klumnakeriynchobaipedinethiywaintoneynkabkhrukhongphwkekhaephraaoakaseynsbay phwkekhaaidrabkarookkamlangkay aelatnaimrob-thangedinthamaihoakasrusueksdchuenmak",กลุ่มนักเรียนชอบไปเดินเล่นกับอาจารย์ในช่วงเย็น เพราะอากาศมันเย็นสบาย ได้ออกกำลังกายและป่าไม้รอบๆทางเดินก็ทำให้อากาศดีมากๆด้วย
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again.
คำแปล:",ฉันขับรถจักรยานยนต์ไปซื้อกาแฟที่ทางเข้าซอย แต่พบว่าร้านที่ฉันชอบปิด ฉันเลยไปลองที่ใหม่แทน แต่มันไม่ดีเลย ฉันจะไม่ซื้อที่นั่นอีก,chankhabrthchakryanyntaipsueokaaefthithangekhasoy aetphbwaranthichanchobpid chanelyaiplongthiaihmaethn aetmanaimdiely chanchaaimsueothinanoik,ขับรถมอเตอร์ไซไปซื้อกาแฟที่หน้าปากซอย แต่ก็พบว่าร้านประจำที่ชอบกินมันปิดไปแล้ว ก็เลยขับรถไปซื้อร้านใหม่ ไม่อร่อยเลย จะไม่ไปซื้ออีกแล้ว
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed.
คำแปล:"," the end,"," the end,",ฉันอยากสอบเข้าโรงเรียนสวนกุหลาบเพราะคิดว่าเป็นโรงเรียนที่ดี ฉันเลยตั้งใจเรียนมากๆเพื่อที่จะสอบเข้าที่นี้ให้ได้ สุดท้ายสอบไม่ติด เสียใจมาก
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad.
คำแปล:",เพื่อนๆของฉันทุกคนรักการเดินทางไปต่างประเทศ แต่ฉันรู้สึกว่ามันเป็นการสิ้นเปลืองเงิน ดังนั้น ฉันจึงเลือกที่จะไปที่ชายหาดในประเทศไทยแทน สภาพอากาศดี ราคาก็ถูก มันดีกว่ามาก ฉันไม่เข้าใจจริงๆว่าทำไมคนถึงไปต่างประเทศ,ephueon-khongchanthukkhnrakkaredinthangaiptangpraeths aetchanrusuekwamanepnkarsineplueongengin dangnan chanchuengelueokthichaaipthichayhadainpraethsaithyaethn sphaphoakasdi rakhakthuk mandikwamak chanaimekhaaichchring-wathamaimkhnthuengaiptangpraeths,เพื่อนๆรอบตัวชอบไปเที่ยวเมืองนอก แต่รู้สึกเสียดายเงิน เลยไปเที่ยวทะเลในไทยแทน อากาศก็ดี ราคาก็ถูก ดีกว่าเยอะ ทำไมต้องไปเมืองนอกกันด้วย ไม่เข้าใจ
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.
คำแปล:",พวกเขากำลังช่วยกันทำความสะอาดบ้าน เพราะมันเต็มไปด้วยโคลนหลังจากเหตุการณ์น้ำท่วมเมื่อสัปดาห์ที่แล้ว จะต้องใช้เวลานานในการทำความสะอาด,phwkekhakamlangchwykanthamkhwamsaoadban ephraamanetmaipdwyokhlnhlangchakehtukarnnamthwmemueosapdahthiaelw chatongaichewlananainkarthamkhwamsaoad,พวกเขากำลังช่วยกันทำความสะอาดบ้านเพราะที่บ้านมีแต่โคลนเต็มไปหมด หลังจากเกิดเหตุการณ์น้ำท่วมเมื่ออาทิตย์ที่ผ่านมา  ต้องทำความสะอาดอีกนานเลย
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world.
คำแปล:"," the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world."," the atmosphere is nice and peaceful, plus there's a beautiful mountain view that feels like stepping into another world.",พ่อกับแม่ชอบไปทำงานที่สวนมากเพราะที่สวนบรรยากาศดีและสงบ รวมไปถึงวิวภูเขาที่ดูสวยงามเหมือนหลุดเข้าไปอีกโลก
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic.
คำแปล:","น้ำพริกหนุ่มเป็นอาหารที่มีชื่อเสียงจากภูมิภาคเหนือ โดยมีส่วนผสมหลักได้แก่พริก, หอมใหญ่, และกระเทียม","namphrikhnumepnoaharthimichueoesiyngchakphumiphakhehnueo odymiswnphsmhlakaidaekphrik, homaihy, aelakraethiym",เมนูน้ำพริกหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ พริกชี้ฟ้า หอมเแดง กระเทียม 
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?
คำแปล:", the translation of the text from English to Thai is: ใครสนใจมาร่วมทานสลัดมะละกอและไก่ย่างที่ครัวคุณขุนกับเราสำหรับมื้อเที่ยง?, the translation of the text from English to Thai is: aikhrsnaichmarwmthansladmalakoaelaaikyangthikhrawkhunkhunkaberasamhrabmueoethiyng?,พวกเราตอนเที่ยงมีใครสนใจไปกินส้มตำไก่ย่างที่ร้านครัวคุณกรไหม?
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache.
คำแปล:"," the weather was so hot that when I got back home, I had to take a rest because I had a headache."," the weather was so hot that when I got back home, I had to take a rest because I had a headache.",วันนี้ตื่นเช้ามากเพราะจะไปดูแข่งวิ่งควาย อากาศร้อนมาก กลับบ้านมาเลยนอนพักเพราะปวดหัว 
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาไทย ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted.
คำแปล:",ทำไมฉันต้องทำงานนี้อีกครั้ง? ฉันได้แก้ไขมันหลายครั้งแล้ว แต่มันไม่เคยเสร็จสิ้น คนที่ขอให้แก้ไขไม่เคยรู้ว่าเขากำลังทำอะไร ฉันเหนื่อยมาก,thamaimchantongthamngannioikkhrang? chanaidaekaikhmanhlaykhrangaelw aetmanaimekhyesrchsin khnthikhoaihaekaikhaimekhyruwaekhakamlangthamoaair chanehnueoymak,ทำไมฉันต้องทำงานนี้อีกแล้ว แก้มาหลายรอบแล้ว ไม่เสร็จสักที คนสั่งให้แก้ก็ไม่รู้ว่าตัวเองทำอะไรอยู่ ฉันเหนื่อยมากนะ
