Input,Pred,Pred_Latin,Gold
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing.
คำแปล:","หมู่เด็กนักเรียนมักไปย่างเล่นแลงนำครู เพราะว่าอากาศมันเย็นสบายดี พวกเขาได้ออกกำลังกายนำ แล้วต้นไม้แถวทางเดินกะเฮ็ดให้อากาศมันสดชื่นคักหลาย.
","hmuedknakeriynmakaipyangelnaelngnamkhru ephraawaoakasmaneynsbaydi phwkekhaaidookkamlangkaynam aelwtnaimaethwthangedinkaehdaihoakasmansdchuenkhakhlay.
",ซุมนักเรียนมักไปย่างเล่นนำอาจารย์ยามมื้อแลง ย้อนอากาศเย็นสบาย ได้ออกกำลังกายและป่าไม้รอบๆ หม่องย่างก็เฮ็ดให้อากาศดีหลายคัก
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again.
คำแปล:","ขี่มอเตอร์ไซค์ไปซื้อกาแฟปากซอย พะฮ่วยร้านมักปิด เลยไปลองร้านใหม่เบิ่ง บ่อแซ่บจักเม็ด สิบ่ไปซื้ออีกแล้ว
","khimoetoraiskhaipsueokaaefpaksoy phahwyranmakpid elyaiplongranaihmebing boaesbchakemd sibaipsueooikaelw
",ขับรถเครื่องไปซื้อกาแฟหน้าปากซอย แต่ก็พ้อว่าร้านประจำที่มักกินปิดไปแล้ว ก็เลยขับรถไปรถไปซื้อร้านใหม่ บ่แซบเลย สิบ่ไปซื้ออีกแล้ว
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed.
คำแปล:","ข้อยอยากเข้าสวนกุหลาบ เพราะว่าข้อยคิดว่ามันเป็นโรงเรียนที่ดีหลาย. ข้อยเลยตั้งใจอ่านหนังสือแฮงๆ เพื่อให้สอบเข้าได้. สุดท้ายแล้ว ข้อยกะสอบบ่ติด, ข้อยเสียใจหลายเติบอยู่.
","khoyoyakekhaswnkuhlab ephraawakhoykhidwamanepnorngeriynthidihlay. khoyelytangaichoanhnangsueoaehng- ephueoaihsobekhaaid. sudthayaelw khoykasobbtid, khoyesiyaichhlayetiboyu.
",ข้อยอยากสอบเข้าโรงเรียนสวนกุหลาบย้อนคึดว่าเป็นโรงเรียนที่ดี ข้อยเลยตั้งใจเรียนหลายๆ ให้สอบเข้าหม่องนี้ให้ได้ สุดท้ายสอบบ่ติด เสียใจคัก
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad.
คำแปล:","หมู่ข่อยมักไปเที่ยวต่างประเทศเบิ่ดสุคน, แต่ข่อยว่ามันเสียเงินซื่อๆดอก. ข่อยเลยสิไปทะเลเมืองไทยดีกว่า. อากาศกะดี, ราคาถืกๆ - มันดีกว่ากันหลาย! ข่อยบ่เข้าใจเลยว่าคนไปต่างประเทศเฮ็ดหยัง.
","hmukhoymakaipethiywtangpraethsebidsukhn, aetkhoywamanesiyenginsueo-dok. khoyelysiaipthaelemueongaithydikwa. oakaskadi, rakhathuek- - mandikwakanhlay! khoybekhaaichelywakhnaiptangpraethsehdhyang.
",หมู่รอบโตมักไปเที่ยวเมืองนอก แต่รู้สึกเสียดายเงิน เลยไปเที่ยวทะเลในไทยแทน อากาศก็ดี ราคาก็ถืก ดีก่อนหลาย เป็นหยังต้องไปเมืองนอกนำบ่เข้าใจ
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.
คำแปล:","เข่ากำลังซ่อยกันเฮ็ดความสะอาดบ้านอยู่ เพราะว่ามันเต็มไปด้วยขี้โคลนหลังน้ำท่วมเมื่ออาทิตย์ที่แล้ว สิใช้เวลานานเติบพุ่นล่ะจั่งสิแล้ว
","ekhakamlangsoykanehdkhwamsaoadbanoyu ephraawamanetmaipdwykhiokhlnhlangnamthwmemueooathitythiaelw siaichewlananetibphunlachangsiaelw
",[ซุม]ขะเจ้ากำลังซอยกันเฮ็ดความสะอาดเฮือนย้อนเฮือนมีแต่โคลนเต็มไปเบิด หลังจากเกิดเหตุการณ์น้ำท่วมตอนอาทิตย์ที่ผ่านมา ต้องเฮ็ดความสะอาดอีกดนเลย
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world.
คำแปล:","พ่อกับแม่มักเฮ็ดสวนคักหลาย ย้อนว่าบรรยากาศมันดี มันสงบ แถมยังมีวิวภูเขางามๆ ที่เฮ็ดให้รู้สึกคือหลุดเข้าไปอยู่อีกโลกหนึ่งเลย.
","phokabaemmakehdswnkhakhlay yonwabrryakasmandi mansngb aethmyangmiwiwphuekhangam- thiehdaihrusuekkhueohludekhaaipoyuoikolkhnuengely.
",พ่อกับแม่มักไปเฮ็ดเวียกหม่องสวนหลายย้อนบรรยากาศดีและสงบ รวมไปถึงวิวภูเขาก็งามป่านหลุดไปอีกโลก
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic.
คำแปล:","น้ำพริกหนุ่มเป็นอาหารดังจากทางเหนือ, เครื่องปรุงหลักๆ มีพริกหนุ่ม, หอมแดง, แล้วกะกระเทียม.
","namphrikhnumepnoahardangchakthangehnueo, ekhrueongprunghlak- miphrikhnum, homaedng, aelwkakraethiym.
",เมนูน้ำพริกหนุ่มแมนอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ พริกชี้ฟ้า หอมแดง กระเทียม 
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?
คำแปล:","มีไผสนใจอยากไปกินตำบักหุ่งกับไก่ย่างนำกันตอนเที่ยงที่ครัวคุณกรบ่?
","miaiphsnaichoyakaipkintambakhungkabaikyangnamkantonethiyngthikhrawkhunkrb?
",หมู่เฮาตอนเที่ยงมีไผอยากไปกินตำบักหุ่งร้านครัวคุณกรบ่?
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache.
คำแปล:","มื้อนี้ข่อยตื่นแต่เช้าคักหลายเด้อ ไปเบิ่งแข่งควายมา อากาศฮ้อนแฮงเติบ กลับมาฮอดเฮือนเลยเมื่อย ต้องฟ้าวเซา เพราะว่าปวดหัว.
","mueonikhoytuenaetechakhakhlayedo aipebingaekhngkhwayma oakashonaehngetib klabmahodehueonelyemueoy tongfawesa ephraawapwdhaw.
",มื้อนี้ตื่นเช้าหลายย้อนสิไปเบิ่งแข่งวิ่งควาย อากาศร้อนแฮง เมือเฮือนมาเลยนอนพักย้อนปวดหัว
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted.
คำแปล:","ข่อยต้องเฮ็ดงานอันนี้ใหม่อีกแล้วเบาะ? แก้มาตั้งหลายรอบแล้วกะบ่แล้วจักเทือ คนที่ให้แก้กะคือสิบ่ฮู้จักหยังจักแนว ข่อยเมื่อยหลายเด้!
","khoytongehdnganoanniaihmoikaelwebaa? aekmatanghlayrobaelwkabaelwchakethueo khnthiaihaekkakhueosibhuchakhyangchakaenw khoyemueoyhlayed!
",เป็นหยังข้อยต้องเฮ็ดงานนี้อีกแล้ว แก้มาหลายเทือแล้ว บ่แล้วจักเทือ คนสั่งให้แก้ก็บ่ฮู้ว่าเจ้าของเฮ็ดอิหยังอยู่ ข้อยเหมื่อยแฮง
