Input,Pred,Pred_Latin,Gold
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing.
คำแปล:",กลุ่มนักเรียนมักสิไปเดินเล่นตอนเย็นกับครูของพวกเขาเพราะว่าอากาศเย็นสบาย พวกเขาได้ออกกำลังกาย และต้นไม้รอบๆ ทางเดินทำให้อากาศรู้สึกสดชื่นหลาย,klumnakeriynmaksiaipedinelntoneynkabkhrukhongphwkekhaephraawaoakaseynsbay phwkekhaaidookkamlangkay aelatnaimrob- thangedinthamaihoakasrusueksdchuenhlay,ซุมนักเรียนมักไปย่างเล่นนำอาจารย์ยามมื้อแลง ย้อนอากาศเย็นสบาย ได้ออกกำลังกายและป่าไม้รอบๆ หม่องย่างก็เฮ็ดให้อากาศดีหลายคัก
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again.
คำแปล:",ข่อยขี่มอเตอร์ไซค์ไปซื้อกาแฟอยู่ปากซอย แต่พอไปฮอดร้านที่ข่อยมักปิดอยู่ ข่อยเลยไปลองร้านใหม่แทน มันบ่แซบเลย ข่อยบ่ไปซื้ออีกดอก,khoykhimoetoraiskhaipsueokaaefoyupaksoy aetphoaiphodranthikhoymakpidoyu khoyelyaiplongranaihmaethn manbaesbely khoybaipsueooikdok,ขับรถเครื่องไปซื้อกาแฟหน้าปากซอย แต่ก็พ้อว่าร้านประจำที่มักกินปิดไปแล้ว ก็เลยขับรถไปรถไปซื้อร้านใหม่ บ่แซบเลย สิบ่ไปซื้ออีกแล้ว
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed.
คำแปล:",ข่อยอยากเข้าโรงเรียนสวนกุหลาบเพราะข่อยคิดว่าเป็นโรงเรียนที่ดีหลาย ข่อยเลยตั้งใจเฮียนอย่างหนักเพื่อสอบเข้าให้ได้ สุดท้ายข่อยกะสอบบ่ได้ ข่อยผิดหวังหลาย,khoyoyakekhaorngeriynswnkuhlabephraakhoykhidwaepnorngeriynthidihlay khoyelytangaichehiynoyanghnakephueosobekhaaihaid sudthaykhoykasobbaid khoyphidhwanghlay,ข้อยอยากสอบเข้าโรงเรียนสวนกุหลาบย้อนคึดว่าเป็นโรงเรียนที่ดี ข้อยเลยตั้งใจเรียนหลายๆ ให้สอบเข้าหม่องนี้ให้ได้ สุดท้ายสอบบ่ติด เสียใจคัก
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad.
คำแปล:",หมู่พวกเพิ่นฮักการไปเที่ยวต่างประเทศกันเบิ่ด แต่ข่อยว่ามันเปลืองเงิน ข่อยเลยอยากไปทะเลในประเทศไทยแทน ดินฟ้าอากาศกะดี ราคากะถืก มันดีกว่าหลาย! ข่อยบ่เข้าใจเลยว่าคนไปต่างประเทศเฮ็ดหยัง.,hmuphwkephinhakkaraipethiywtangpraethskanebid aetkhoywamaneplueongengin khoyelyoyakaipthaelainpraethsaithyaethn dinfaoakaskadi rakhakathuek mandikwahlay! khoybekhaaichelywakhnaiptangpraethsehdhyang.,หมู่รอบโตมักไปเที่ยวเมืองนอก แต่รู้สึกเสียดายเงิน เลยไปเที่ยวทะเลในไทยแทน อากาศก็ดี ราคาก็ถืก ดีก่อนหลาย เป็นหยังต้องไปเมืองนอกนำบ่เข้าใจ
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.
คำแปล:",พวกเขากำลังซ่อยกันเฮ็ดความสะอาดเฮือนเพราะมันเต็มไปด้วยขี้ตมหลังจากเหตุน้ำท่วมอาทิตย์ที่แล้ว มันสิใช้เวลานานในการเฮ็ดความสะอาด,phwkekhakamlangsoykanehdkhwamsaoadehueonephraamanetmaipdwykhitmhlangchakehtunamthwmoathitythiaelw mansiaichewlananainkarehdkhwamsaoad,[ซุม]ขะเจ้ากำลังซอยกันเฮ็ดความสะอาดเฮือนย้อนเฮือนมีแต่โคลนเต็มไปเบิด หลังจากเกิดเหตุการณ์น้ำท่วมตอนอาทิตย์ที่ผ่านมา ต้องเฮ็ดความสะอาดอีกดนเลย
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world.
คำแปล:",พ่อกับแม่มักเฮ็ดงานอยู่ในสวนเพราะบรรยากาศดีแล้วกะสงบ แถมยังมีวิวภูเขางามๆ ที่ฮู้สึกคือก้าวเข้าไปสู่อีกโลกหนึ่ง,phokabaemmakehdnganoyuainswnephraabrryakasdiaelwkasngb aethmyangmiwiwphuekhangam- thihusuekkhueokawekhaaipsuoikolkhnueng,พ่อกับแม่มักไปเฮ็ดเวียกหม่องสวนหลายย้อนบรรยากาศดีและสงบ รวมไปถึงวิวภูเขาก็งามป่านหลุดไปอีกโลก
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic.
คำแปล:",น้ำพริกหนุ่มเป็นอาหารขึ้นชื่อจากภาคเหนือ มีส่วนผสมหลักคือพริก หอมแดง และกระเทียม,namphrikhnumepnoaharkhuenchueochakphakhehnueo miswnphsmhlakkhueophrik homaedng aelakraethiym,เมนูน้ำพริกหนุ่มแมนอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ พริกชี้ฟ้า หอมแดง กระเทียม 
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?
คำแปล:",มีไผสนใจไปกินตำบักหุ่งกับไก่ย่างนำกันที่ครัวคุณกรตอนเที่ยงบ่?,miaiphsnaichaipkintambakhungkabaikyangnamkanthikhrawkhunkrtonethiyngb?,หมู่เฮาตอนเที่ยงมีไผอยากไปกินตำบักหุ่งร้านครัวคุณกรบ่?
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache.
คำแปล:",ข่อยตื่นแต่เซ้าหลายมื้อนี้ไปเบิ่งแข่งควาย อากาศฮ้อนหลายพอกลับเฮือน ข่อยต้องพักผ่อนเพราะว่าข่อยปวดหัว,khoytuenaetesahlaymueoniaipebingaekhngkhway oakashonhlayphoklabehueon khoytongphakphonephraawakhoypwdhaw,มื้อนี้ตื่นเช้าหลายย้อนสิไปเบิ่งแข่งวิ่งควาย อากาศร้อนแฮง เมือเฮือนมาเลยนอนพักย้อนปวดหัว
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted.
คำแปล:",คือจั่งต้องมาทำงานนี่อีกแล้ว? แก้หลายเทื่อแล้วกะยังบ่เสร็จจักเทื่อ คนที่ให้แก้กะบ่ฮู้จักว่าตัวเองเฮ็ดหยังอยู่ ข่อยเมื่อยหลายแล้วเด้อ.,khueochangtongmathamngannioikaelw? aekhlayethueoaelwkayangbesrchchakethueo khnthiaihaekkabhuchakwataweongehdhyangoyu khoyemueoyhlayaelwedo.,เป็นหยังข้อยต้องเฮ็ดงานนี้อีกแล้ว แก้มาหลายเทือแล้ว บ่แล้วจักเทือ คนสั่งให้แก้ก็บ่ฮู้ว่าเจ้าของเฮ็ดอิหยังอยู่ ข้อยเหมื่อยแฮง
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป็น ภาษาอีสาน ให้เจ้าแปลโดยตรงโดยบ่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I bought fried chicken for my friend, but I was too hungry, so I ate it instead. My friend didn’t mind and even reheated it for me. Such a kind friend!
คำแปล:",ข่อยซื้อลาบไก่ให้หมู่ แต่ข่อยหิวหลาย เลยกินเอง หมู่บ่ถือสา แถมยังอุ่นให้ข่อยอีก เป็นหมู่ที่ใจดีแท้!,khoysueolabaikaihhmu aetkhoyhiwhlay elykineong hmubthueosa aethmyangounaihkhoyoik epnhmuthiaichdiaeth!,ข่อยซื้อไก่ทอดมาฝากหมู่ แต่หิว เลยเอาของหมู่มากิน หมู่บ่ว่า แถมเอาไก่ไปอุ่นให้อีกนำ หมู่เป็นคนดีอีหลี
