Input,Pred,Pred_Latin,Gold
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing.
คำแปล:","หมู่เฮานักเฮียนชอบไปปิ๊กแลงกับครูบาอาจารย์ของเปิ้น เพราะว่าอากาศมันเย็นสบายดี พวกเขาได้ออกกำลังกาย และต้นไม้แถวๆ ทางเดินนั้นทำให้อากาศมันสดชื่นขนาด
","hmuehanakehiynchobaippikaelngkabkhrubaoacharykhongepin ephraawaoakasmaneynsbaydi phwkekhaaidookkamlangkay aelatnaimaethw- thangedinnanthamaihoakasmansdchuenkhnad
",กลุ่มนักเฮียนชอบไปเตียวเล่นกับอาจารย์ในช่วงเมื่อแลง เพราะอากาศมันเย็นสบายได้ออกกำลังกายและป่าไม้รอบๆตางเตียวก่ยะฮื้ออากาศดีมากๆโตย
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again.
คำแปล:","ขี่รถมอเตอร์ไซค์ไปซื้อกาแฟปากซอย, ไปถึงแล้วปรากฏว่าร้านตี้ชอบมันปิด. เลยไปลองร้านใหม่แฮ๋มร้านนึง. บะลำแต้ว่า. บะไปซื้อแหมแล้ว.
","khirthmoetoraiskhaipsueokaaefpaksoy, aipthuengaelwpraktwarantichobmanpid. elyaiplongranaihmaehmrannueng. balamaetwa. baaipsueoaehmaelw.
",ขับรถเครื่องไปซื้อกาแฟที่หน้าปากซอย แต่ก็พบว่าฮ้านประจำตี้ชอบกิ๋นมันปิดไปแล้ว ก่อเลยขับรถไปซื้อฮ้านใหม่ บ่อลำเลย จะบ่ไปซื้อแหมแล้ว
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed.
คำแปล:","ข้าเจ้าอยากเข้าโรงเรียนสวนกุหลาบ เพราะว่าข้าเจ้าคิดว่ามันเป็นโรงเรียนตี้ดีแต้ๆ ก็เลย ข้าเจ้าขะใจ๋เรียนหนักขนาด เพื่อจะสอบเข้าหื้อได้ สุดท้าย ข้าเจ้าบะได้เข้า และข้าเจ้าผิดหวังขนาด
","khaechaoyakekhaorngeriynswnkuhlab ephraawakhaechakhidwamanepnorngeriyntidiaet- kely khaechakhaaicheriynhnakkhnad ephueochasobekhahueoaid sudthay khaechabaaidekha aelakhaechaphidhwangkhnad
",ฮาอยากจะสอบเข้าโฮงเฮียนสวนกุหลาบเพราะกึดว่าเป็นโฮงเฮียนตี้ดี ฮาเลยตั้งใจเฮียนนักๆ เพื่อตี้จะสอบเข้าตี้นี่หื้อได้ สุดท้ายสอบบ่ติด เสียใจขนาด
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad.
คำแปล:","หมู่เฮาปี้คนมักไปเที่ยวต่างประเทศกั๋นหมด, แต่เฮาฮู้สึกว่ามันเปลืองเงิน. จะนั้น, เฮาขอไปทะเลเมืองไทยดีกว่า. อากาศมันดี, ราคามันถูก—มันดีกว่าขนาด! เฮาบ่เข้าใจเลยว่าคนไปต่างประเทศกั๋นยะหยัง.
","hmuehapikhnmakaipethiywtangpraethskanhmd, aetehahusuekwamaneplueongengin. chanan, ehakhoaipthaelemueongaithydikwa. oakasmandi, rakhamanthuk-mandikwakhnad! ehabekhaaichelywakhnaiptangpraethskanyahyang.
",จะหมู่รอบตัวชอบไปแอ่วเมืองนอก แต่ฮู้สึกเสียดายเงิน เลยไปแอ่วทะเลในไทยแทน อากาศก่อดี ราคาก่ถูก ดีกว่าเยอะ เยียะหยังต้องไปเมืองนอกโตย บ่เข้าใจ
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.
คำแปล:","เปิ้นกำลังจ่วยกั๋นปัดกวาดบ้าน เพราะว่ามันเต็มไปด้วยโคลนหลังเหตุการณ์น้ำท่วมเมื่ออาทิตย์ตี้แล้ว จะต้องใช้เวลานานเต้าใดก่อบะฮู้กว่าจะแล้ว
","epinkamlangchwykanpadkwadban ephraawamanetmaipdwyokhlnhlangehtukarnnamthwmemueooathitytiaelw chatongaichewlananetaaidkobahukwachaaelw
",สูเขากำลังช่วยกันทำความสะอาดบ้านเพราะตี้บ้านมีแต่ขี้เปอะเต็มไปหมด หลังจากเกิดเหตุการณ์น้ำท่วมเมื่ออาติ้ดตี้ผ่านมา ต้องทำความสะอาดแหมเมินเลย
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world.
คำแปล:","ป้อกับแม่มักกิ๋นก๋านในสวน เพราะว่าบรรยากาศมันดี๋ มันสงบ แถมยังมีวิวเขาตี้งาม เหมือนกับได้ย่ำเข้าไปในโลกอื่นเลย.
","pokabaemmakkinkanainswn ephraawabrryakasmandi mansngb aethmyangmiwiwekhatingam ehmueonkabaidyamekhaaipainolkouenely.
",ป้อกับแม่ชอบไปยะกั๋นตี้สวนมากเพราะตี้สวนบรรยากาศดีและสงบ รวมไปถึงวิวเขาตี้ดูสวยงามเหมือนหลุดเข้าไปแหมโลก
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic.
คำแปล:","น้ำพริกหนุ่มเป็นอาหารจื๋อดังจากภาคเหนือ โดยมีส่วนผสมหลักคือพริกหนุ่ม หอมแดง และกระเทียม
","namphrikhnumepnoaharchueodangchakphakhehnueo odymiswnphsmhlakkhueophrikhnum homaedng aelakraethiym
",เมนูน้ำพริกหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ พริกชี้ฟ้า หอมเแดง กระเทียม 
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?
คำแปล:","มีไผ๋สนใจ๋ไปกิ๋นส้มตำไก่ย่างตี้ครัวคุณกร๋ตอนเที่ยงนำกั๋นก่อ?
","miaiphsnaichaipkinsmtamaikyangtikhrawkhunkrtonethiyngnamkanko?
",หมู่เฮาตอนเที่ยงมีไผสนใจไปกินส้มตำไก่ย่างตี๋ร้านครัวคุณกรก่อ?
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache.
คำแปล:","มื่อแลงวันนี้ ข้าเจ้าตื่นมาแต่เจ๊าเติ๊ดๆ เพื่อไปผ่อแข่งควาย อากาศมันฮ้อนขนาด ตอนข้าเจ้าเมือเถิงบ้าน ข้าเจ้าเลยต้องปุ๊ดพัก เพราะว่าข้าเจ้าเจ็บหัว
","mueoaelngwanni khaechatuenmaaetechaetid- ephueoaipphoaekhngkhway oakasmanhonkhnad tonkhaechaemueoethingban khaechaelytongpudphak ephraawakhaechaechbhaw
",วันนี้ตื่นเช้ามากเพราะจะไปดูแข่งล่นควาย อากาศฮ้อนขนาด ปิ๊กบ้านมาเลยนอนพักเพราะปวดหัว
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted.
คำแปล:","อะหยังข้าต้องมายะงานนี้แหมรอบ? ข้าแก้ไปเมินเติบละ, แต่ว่ามันบะแล้วสักเตื้อ. คนตี้คอยสั่งแก้บะฮู้จักยะหยังสักอย่าง. ข้าเมื่อยขนาด.
","oahyangkhatongmayanganniaehmrob? khaaekaipeminetibla, aetwamanbaaelwsaketueo. khntikhoysangaekbahuchakyahyangsakoyang. khaemueoykhnad.
",เยี๊ยะหยังฮาต้องยะกั๋นนี้แหมแล้ว แก้มาหลายเตื้อละ บ่แล้วสักกำ คนสั่งหื้อแก้ก่บ่ฮู้ว่าตัวเก่ายะหยังอยู่ ฮาอิ๊ดขนาด
