Input,Pred,Pred_Latin,Gold
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing.
คำแปล:",กลุ่มนักเรียนมักม่วนไปเตียวเล่นตอนแลงกับครูของเขา เพราะอากาศเย็นสบาย เขาได้ออกกำลังกาย แล้วต้นไม้รอบๆ ทางก่เฮ็ดหื้ออากาศฮู้สึกสดชื่นขนาด,klumnakeriynmakmwnaipetiywelntonaelngkabkhrukhongekha ephraaoakaseynsbay ekhaaidookkamlangkay aelwtnaimrob- thangkehdhueooakashusueksdchuenkhnad,กลุ่มนักเฮียนชอบไปเตียวเล่นกับอาจารย์ในช่วงเมื่อแลง เพราะอากาศมันเย็นสบายได้ออกกำลังกายและป่าไม้รอบๆตางเตียวก่ยะฮื้ออากาศดีมากๆโตย
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again.
คำแปล:",คำแปล: เปิ้นขี่รถมอเตอร์ไซค์ไปซื้อกาแฟตี้ปากซอย ปอไปฮอดก่าฮู้ว่าร้านตี้มักปิดละ ก่เลยไปลองร้านใหม่แห๋มตี้ มันบ่ลำเลย บ่ไปซื้อแห๋มละ.,khamaepl: epinkhirthmoetoraiskhaipsueokaaeftipaksoy poaiphodkahuwarantimakpidla kelyaiplongranaihmaehmti manblamely baipsueoaehmla.,ขับรถเครื่องไปซื้อกาแฟที่หน้าปากซอย แต่ก็พบว่าฮ้านประจำตี้ชอบกิ๋นมันปิดไปแล้ว ก่อเลยขับรถไปซื้อฮ้านใหม่ บ่อลำเลย จะบ่ไปซื้อแหมแล้ว
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed.
คำแปล:",ข้อยอยากเข้าโรงเรียนสวนกุหลาบ เพราะข้อยคิดว่าเป๋นโรงเรียนตี้ดีแต้ๆ ข้อยเลยตั้งใจ๋เฮียนขะหนาดหนักหื้อสอบเข้าได้ สุดท้ายข้อยก่สอบบ่ได้ ข้อยเลยผิดหวังขะหนาดนัก,khoyoyakekhaorngeriynswnkuhlab ephraakhoykhidwaepnorngeriyntidiaet- khoyelytangaichehiynkhahnadhnakhueosobekhaaid sudthaykhoyksobbaid khoyelyphidhwangkhahnadnak,ฮาอยากจะสอบเข้าโฮงเฮียนสวนกุหลาบเพราะกึดว่าเป็นโฮงเฮียนตี้ดี ฮาเลยตั้งใจเฮียนนักๆ เพื่อตี้จะสอบเข้าตี้นี่หื้อได้ สุดท้ายสอบบ่ติด เสียใจขนาด
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad.
คำแปล:",เพื่อนของเปิ้นฮักการไปแอ่วต่างประเทศกั๋นหมด แต่เฮาฮู้สึกว่ามันเปลืองเงินนัก เพราะฉะนั้น เฮาเลยอยากไปทะเลในเมืองไทยแหมเตื้อ อากาศก็ดี ราคาก็ถูก—มันดีกว่าหลาย! เฮาบะเข้าใจเลยว่าคนจะไปต่างประเทศยะหยัง,ephueonkhongepinhakkaraipaeowtangpraethskanhmd aetehahusuekwamaneplueongenginnak ephraachanan ehaelyoyakaipthaelainemueongaithyaehmetueo oakaskdi rakhakthuk-mandikwahlay! ehabaekhaaichelywakhnchaaiptangpraethsyahyang,จะหมู่รอบตัวชอบไปแอ่วเมืองนอก แต่ฮู้สึกเสียดายเงิน เลยไปแอ่วทะเลในไทยแทน อากาศก่อดี ราคาก่ถูก ดีกว่าเยอะ เยียะหยังต้องไปเมืองนอกโตย บ่เข้าใจ
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.
คำแปล:",เขาอู้กั๋นล้างเฮือนเพราะมันเต็มไปตวยขี้ดินหลังจากเหตุน้ำท่วมอาทิตย์ก่อน มันจะเอาเวลานานขนาดล้างหื้อเสร็จ,ekhaoukanlangehueonephraamanetmaiptwykhidinhlangchakehtunamthwmoathitykon manchaeoaewlanankhnadlanghueoesrch,สูเขากำลังช่วยกันทำความสะอาดบ้านเพราะตี้บ้านมีแต่ขี้เปอะเต็มไปหมด หลังจากเกิดเหตุการณ์น้ำท่วมเมื่ออาติ้ดตี้ผ่านมา ต้องทำความสะอาดแหมเมินเลย
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world.
คำแปล:",พ่อกับแม่ฮักการเฮียนในสวน เพราะบรรยากาศมันดีและสงบ แถมยังมีวิวภูเขางามๆ ตี้เหมือนก้าวเข้าไปในอีกโลกหนึ่ง.,phokabaemhakkarehiynainswn ephraabrryakasmandiaelasngb aethmyangmiwiwphuekhangam- tiehmueonkawekhaaipainoikolkhnueng.,ป้อกับแม่ชอบไปยะกั๋นตี้สวนมากเพราะตี้สวนบรรยากาศดีและสงบ รวมไปถึงวิวเขาตี้ดูสวยงามเหมือนหลุดเข้าไปแหมโลก
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic.
คำแปล:","น้ำพริกหนุ่มเป๋นกับลือชื่อจากภาคเหนือ มีส่วนผสมหลักๆ รวมไปถึงพริก, หอมแดง, และกระเทียม","namphrikhnumepnkablueochueochakphakhehnueo miswnphsmhlak- rwmaipthuengphrik, homaedng, aelakraethiym",เมนูน้ำพริกหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ พริกชี้ฟ้า หอมเแดง กระเทียม 
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?
คำแปล:",ไผสนใจ๋จะไปกิ๋นส้มตำกับไก่ย่างตี้ครัวคุณกรตอนเที่ยงก่อ?,aiphsnaichchaaipkinsmtamkabaikyangtikhrawkhunkrtonethiyngko?,หมู่เฮาตอนเที่ยงมีไผสนใจไปกินส้มตำไก่ย่างตี๋ร้านครัวคุณกรก่อ?
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache.
คำแปล:",ข้อยตื่นเมินขนาดวันนี้จะไปผ่อการแข่งควาย อากาศฮ้อนขนาด พอกลับเฮือน ข้อยต้องไปพักผ่อนเพราะว่าข้อยปวดหัว,khoytueneminkhnadwannichaaipphokaraekhngkhway oakashonkhnad phoklabehueon khoytongaipphakphonephraawakhoypwdhaw,วันนี้ตื่นเช้ามากเพราะจะไปดูแข่งล่นควาย อากาศฮ้อนขนาด ปิ๊กบ้านมาเลยนอนพักเพราะปวดหัว
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted.
คำแปล:",ยะหยังต้องมาทำงานนี้อีก? เปิ้นแก้หลายเตื้อแล้ว แต่ก่ยังบะเสร็จสักเตื้อ คนตี้ขอหื้อแก้ก่บะฮู้ว่าตั๋วเก่าต้องการอะหยัง ข้าเจ้าอิดขนาด,yahyangtongmathamngannioik? epinaekhlayetueoaelw aetkyangbaesrchsaketueo khntikhohueoaekkbahuwatawekatongkaroahyang khaechaoidkhnad,เยี๊ยะหยังฮาต้องยะกั๋นนี้แหมแล้ว แก้มาหลายเตื้อละ บ่แล้วสักกำ คนสั่งหื้อแก้ก่บ่ฮู้ว่าตัวเก่ายะหยังอยู่ ฮาอิ๊ดขนาด
