Input,Pred,Pred_Latin,Gold
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing.
คำแปล:","กลุ่มนักเรียนชอบไปเดินเล่นตอนแลงกับครู เพราะว่าอากาศมันเย็นสบาย พวกเขาได้ออกกำลังกาย แล้วต้นไม้รอบๆ แถวทางเดินทำให้อากาศมันสดชื่นขนาด
","klumnakeriynchobaipedinelntonaelngkabkhru ephraawaoakasmaneynsbay phwkekhaaidookkamlangkay aelwtnaimrob- aethwthangedinthamaihoakasmansdchuenkhnad
",โบ๋นักเรียนชอบไปเดินเล่นกับอาจารย์หวันเย็น เพราะอากาศมันเย็นบาย ได้ออกกำลังกายและป่าไม้รอบๆทางเดินก็ทำให้อากาศดีมากๆด้วย
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again.
คำแปล:","อิฉันขี่รถเครื่องไปซื้อกาแฟปากซอย, แต่ว่าไปเถินร้านที่ชอบปิดเสียแล้ว. เลยไปลองร้านใหม่แทน. หรอยสักหิดก็ไม่หรอย. อิฉันไม่ไปซื้ออีกแล้วแหละ.
","oichankhirthekhrueongaipsueokaaefpaksoy, aetwaaipethinranthichobpidesiyaelw. elyaiplongranaihmaethn. hroysakhidkaimhroy. oichanaimaipsueooikaelwaehla.
",ขับรถเครื่องไปซื้อกาแควที่หน้าปากซอย แต่ก็พบว่าร้านประจำที่ชอบกินมันปิดไปแล้ว ก็เลยขับรถไปซื้อร้านเอิน ไม่หร่อยเลย จะไม่หลบซื้ออีกแล้ว หร๊าบแล้ว ร้านนี้
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed.
คำแปล:","เอ้อ อยากเข้าสวนกุหลาบ เพราะว่าคิดว่าโรงเรียนดีหวางั้นแหละ เลยขยันอ่านหนังสือหนักหวางเหวิด เพื่อให้สอบเข้าได้ สุดท้ายแล้ว สอบไม่ติด แล้วก็เสียใจแรง
","eoo oyakekhaswnkuhlab ephraawakhidwaorngeriyndihwanganaehla elykhyanoanhnangsueohnakhwangehwid ephueoaihsobekhaaid sudthayaelw sobaimtid aelwkesiyaichaerng
",ฉ้านอยากอีสอบเข้าโรงเรียนสวนกุหลาบเพราะคิดว่าเป็นโรงเรียนที่ดี ฉ้านเลยตั้งใจเรียนมากๆเพื่อที่จะสอบเข้าที่นี้ให้ได้ สุดท้ายฉ้านสอบไม่ติด เสียใจหนัดเหนียน 
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad.
คำแปล:","เอ้อ เพื่อนเห้อของฉันทุกคนชอบไปเที่ยวเมืองนอกกันจังหู แต่ฉันรู้สึกว่ามันเสียเงินเปล่าๆ ฉันเลยอยากไปทะเลในประเทศไทยดีหวา อากาศก็ดี ราคาถูกๆ มันดีกว่าเยอะแยะ ฉันไม่เข้าใจจริงๆ ว่าทำไมคนต้องไปเมืองนอกกันหวา
","eoo ephueonehokhongchanthukkhnchobaipethiywemueongnokkanchanghu aetchanrusuekwamanesiyenginepla- chanelyoyakaipthaelainpraethsaithydihwa oakaskdi rakhathuk- mandikwaeyoaaeya chanaimekhaaichchring- wathamaimkhntongaipemueongnokkanhwa
",โบ๋เพื่อนๆรอบตัวชอบไปเที่ยวเมืองนอก แต่รู้สึกดายของเบี้ย เลยไปเที่ยวเลในไทยแทน อากาศก็ดี ไม่เปลื้องเบี้ย ดีกว่าลุย ทำไมต้องไปเมืองนอกกันด้วย ไม่เข้าใจโบ๋นี้
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.
คำแปล:","เอ้อ พวกเขาช่วยกันถูบ้าน เพราะว่าในบ้านเต็มไปด้วยดินโคลน หลังจากน้ำท่วมเมื่ออาทิตย์ที่แล้ว ต้องใช้เวลาแหลงกว่าจะทำความสะอาดเสร็จ
","eoo phwkekhachwykanthuban ephraawaainbanetmaipdwydinokhln hlangchaknamthwmemueooathitythiaelw tongaichewlaaehlngkwachathamkhwamsaoadesrch
",โบ๋เขากำลังช่วยกันทำความสะอาดเริ่นเพราะที่เริ่นยังโคลนจังเสีย หลังจากเกิดเหตุการณ์น้ำท่วมแร็กอาทิตย์ที่ผ่านมา  ต้องทำความสะอาดอีกนานเหลย
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world.
คำแปล:","เห้อ พ่อกับแม่ชอบทำสวนหวางเหอ เพราะว่าบรรยากาศมันดี มันเงียบสงบ แถมยังมีวิวเขาหย๊าดๆ ที่แลแล้วเหมือนหลุดไปอยู่อีกโลกนึงเลย
","eho phokabaemchobthamswnhwangeho ephraawabrryakasmandi manengiybsngb aethmyangmiwiwekhahyad- thiaelaelwehmueonhludaipoyuoikolknuengely
",พ่อกับแม่ชอบไปทำงานสวนหนัดเพราะที่สวนบรรยากาศดีไม่มีใครมางวน รวมไปถึงวิวภูเขาที่ดูสวยงามเหมือนหลุดเข้าไปอีกโลก
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic.
คำแปล:","น้ำพริกหนุ่มเป็นอาหารชื่อดังจากภาคเหนือ, มีเครื่องปรุงหลักๆ คือ พริก, หอมแดง, และกระเทียม.

**ภาษาใต้ (แบบเติ้ลแปลตรงตัว):**

น้ำพริกหนุ่มเป็นอาหารดังเห้อจากภาคเหนือ, มีเครื่องปรุงหลักๆ คือ พริก, หอมแดง, และกระเทียม.
","namphrikhnumepnoaharchueodangchakphakhehnueo, miekhrueongprunghlak- khueo phrik, homaedng, aelakraethiym.

**phasaait (aebbetilaepltrngtaw):**

namphrikhnumepnoahardangehochakphakhehnueo, miekhrueongprunghlak- khueo phrik, homaedng, aelakraethiym.
",เมนูน้ำชุปหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ ดีปลี หอมเแดง หัวเทียม 
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?
คำแปล:","มีไครสนใจไปแหลงส้มตำไก่ย่างที่ครัวคุณกรกันเที่ยงนี้หม้าย?
","miaikhrsnaichaipaehlngsmtamaikyangthikhrawkhunkrkanethiyngnihmay?
",โบ๋เรา ตอนเที่ยงยังใครที่อาดไปกินส้มตำไก่ย่างที่ร้านครัวคุณกรมั้งม่าย?
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache.
คำแปล:","เอ้อ ตื่นแต่เช้าเหอวันนี้ หวังไปแหลงควายชน อากาศร้อนฉิบหาย พอเห้อกลับถึงบ้าน ต้องแหลงพัก เพราะว่าปวดหัวเติบเลย
","eoo tuenaetechaehowanni hwangaipaehlngkhwaychn oakasronchibhay phoehoklabthuengban tongaehlngphak ephraawapwdhawetibely
",วันนี้ตื่นหัวรุ่งเพราะจะไปแลแข่งแล่นควาย อากาศร้อนอีตาย หลบเริ่นมา เลยนอนพักเพราะเจ็บเบ็ดหัวแปลบ 
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted.
คำแปล:","เอ้อ เหอ ไซร กูต้องมาทำไหม่ตะงานนี้หวา? กูแก้มาตั้งหลายรอบแล้วเห้อ มันก็ไม่แล้วสักที ไอ้คนสั่งแก้ก็ไม่รู้เรื่องอีท่าไหน กูเหนื่อยฉิบหายเลยหว่ะ.
","eoo eho aisr kutongmathamaihmtangannihwa? kuaekmatanghlayrobaelweho mankaimaelwsakthi aiokhnsangaekkaimruerueongoithaaihn kuehnueoychibhayelyhwa.
",ไซร้ฉ้านต้องทำงานนี้แล้วหล่าว แก้มาจังเสียแล้ว ไม่เสร็จสักที คนสั่งให้แก้ก็ไม่รู้ว่าตัวเองทำไหร่อยู่ ฉันเหนื่อยแค่แล้ว
