Input,Pred,Pred_Latin,Gold
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: กลุ่มนักเฮียนชอบไปเตียวเล่นกับอาจารย์ในช่วงเมื่อแลง เพราะอากาศมันเย็นสบายได้ออกกำลังกายและป่าไม้รอบๆตางเตียวก่ยะฮื้ออากาศดีมากๆโตย
คำแปล:","ข้อความที่ให้มาเป็นภาษาเหนือเป๋น และข้อความนี้อาจมีความหมายที่ไม่ชัดเจนหรืออาจมีคำศัพท์ที่ไม่ทราบความหมายได้ ดังนั้นการแปลข้อความนี้อาจมีความไม่แน่นอนหรืออาจต้องใช้ข้อมูลเพิ่มเติมเพื่อความชัดเจน

หากต้องการแปลข้อความนี้ให้ถูกต้องและชัดเจน เราต้องมีข้อมูลเพิ่มเติมเกี่ยวกับภาษาเหนือเป๋นและความหมายของคำศัพท์ที่ใช้ในข้อความนี้

อย่างไรก็ตาม หากต้องการแปลข้อความนี้โดยตรงโดยไม่มีข้อมูลเพิ่มเติม ข้อความนี้อาจแปลเป็นภาษาอังกฤษได้ดังนี้:

""กลุ่มนักเล่นชอบไปเล่นกับอาจารย์ในช่วงเวลาที่อากาศเย็นสบาย เพราะอากาศเย็นสบายทำให้สามารถออกกำลังกายได้ดีและป่าไม้รอบๆที่เล่นมีอากาศดีมาก""

โปรดทราบว่าข้อความนี้อาจไม่ถูกต้องหรือไม่ชัดเจน หากต้องการข้อมูลเพิ่มเติมหรือความชัดเจนในการแปลข้อความนี้ โปรดให้ข้อมูลเพิ่มเติมเกี่ยวกับภาษาเหนือเป๋นและความหมายของคำศัพท์ที่ใช้ในข้อความนี้","khokhwamthiaihmaepnphasaehnueoepn aelakhokhwamnioachmikhwamhmaythiaimchadechnhrueooachmikhamsaphththiaimthrabkhwamhmayaid dangnankaraeplkhokhwamnioachmikhwamaimaennonhrueooachtongaichkhomulephimetimephueokhwamchadechn

haktongkaraeplkhokhwamniaihthuktongaelachadechn eratongmikhomulephimetimekiywkabphasaehnueoepnaelakhwamhmaykhongkhamsaphththiaichainkhokhwamni

oyangairktam haktongkaraeplkhokhwamniodytrngodyaimmikhomulephimetim khokhwamnioachaeplepnphasaoangkruesaiddangni:

""klumnakelnchobaipelnkaboacharyainchwngewlathioakaseynsbay ephraaoakaseynsbaythamaihsamarthookkamlangkayaiddiaelapaaimrob-thielnmioakasdimak""

oprdthrabwakhokhwamnioachaimthuktonghrueoaimchadechn haktongkarkhomulephimetimhrueokhwamchadechnainkaraeplkhokhwamni oprdaihkhomulephimetimekiywkabphasaehnueoepnaelakhwamhmaykhongkhamsaphththiaichainkhokhwamni","The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: ขับรถเครื่องไปซื้อกาแฟที่หน้าปากซอย แต่ก็พบว่าฮ้านประจำตี้ชอบกิ๋นมันปิดไปแล้ว ก่อเลยขับรถไปซื้อฮ้านใหม่ บ่อลำเลย จะบ่ไปซื้อแหมแล้ว
คำแปล:","ข้อความนี้เป็นภาษาเหนือ (ภาษาไทยภาคเหนือ) และแปลเป็นภาษาอังกฤษได้ดังนี้:

""I drove my car to buy coffee at the corner of the street, but I found that the coffee shop was closed. So I drove to buy a new coffee. But I didn't go to buy it after all.""

หรือ

""I drove my car to buy coffee at the corner of the street, but I found that the coffee shop was closed. I decided to drive to buy a new coffee, but I ended up not going to buy it.""

ข้อมูลเพิ่มเติม:

- ""ขับรถเครื่อง"" หมายถึง ขับรถยนต์
- ""ไปซื้อกาแฟ"" หมายถึง ไปซื้อเครื่องดื่มชนิดหนึ่งที่ทำจากกาแฟ
- ""หน้าปากซอย"" หมายถึง ที่ตั้งอยู่ที่หน้าทางเข้าซอย
- ""ฮ้าน"" หมายถึง ร้านขายกาแฟ
- ""กิ๋น"" หมายถึง ปิด
- ""ก่อเลย"" หมายถึง จึง
- ""บ่อลำเลย"" หมายถึง จึงไม่ไป
- ""แหม"" หมายถึง แล้ว","khokhwamniepnphasaehnueo (phasaaithyphakhehnueo) aelaaeplepnphasaoangkruesaiddangni:

""I drove my car to buy coffee at the corner of the street, but I found that the coffee shop was closed. So I drove to buy a new coffee. But I didn't go to buy it after all.""

hrueo

""I drove my car to buy coffee at the corner of the street, but I found that the coffee shop was closed. I decided to drive to buy a new coffee, but I ended up not going to buy it.""

khomulephimetim:

- ""khabrthekhrueong"" hmaythueng khabrthynt
- ""aipsueokaaef"" hmaythueng aipsueoekhrueongduemchnidhnuengthithamchakkaaef
- ""hnapaksoy"" hmaythueng thitangoyuthihnathangekhasoy
- ""han"" hmaythueng rankhaykaaef
- ""kin"" hmaythueng pid
- ""koely"" hmaythueng chueng
- ""bolamely"" hmaythueng chuengaimaip
- ""aehm"" hmaythueng aelw","I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: ฮาอยากจะสอบเข้าโฮงเฮียนสวนกุหลาบเพราะกึดว่าเป็นโฮงเฮียนตี้ดี ฮาเลยตั้งใจเฮียนนักๆ เพื่อตี้จะสอบเข้าตี้นี่หื้อได้ สุดท้ายสอบบ่ติด เสียใจขนาด
คำแปล:","ข้อความที่ให้มาเป็นภาษาเหนือ (ภาษาถิ่นเหนือ) ของภาษาไทย และข้อความนี้มีความหมายที่ไม่ชัดเจนหรืออาจมีความหมายที่ไม่เหมาะสม

หากต้องการแปลข้อความนี้เป็นภาษาอังกฤษ ให้เขียนข้อความที่ชัดเจนและเหมาะสมก่อน จากนั้นจึงแปลเป็นภาษาอังกฤษ

หากต้องการแปลข้อความที่ให้มาเป็นภาษาอังกฤษโดยตรง อาจแปลเป็น:

""I want to enter the Hongheian School because I think it's a good school. I've been studying hard to get in, but I failed the exam. I'm very disappointed.""

หรือ

""I want to enter Hongheian School because I think it's a good school. I've been studying hard to get in, but I failed the exam. I'm really sad about it.""

ข้อมูลเพิ่มเติมที่อาจต้องการ:

* ""โฮงเฮียนสวนกุหลาบ"" อาจหมายถึง ""โรงเรียนสวนกุหลาบ"" ซึ่งเป็นโรงเรียนเอกชนในประเทศไทย
* ""โฮงเฮียนตี้ดี"" อาจหมายถึง ""โรงเรียนที่ดี"" หรือ ""โรงเรียนที่มีชื่อเสียง""
* ""เฮียนนักๆ"" อาจหมายถึง ""เรียนหนังสือ"" หรือ ""ศึกษา""
* ""ตี้"" อาจหมายถึง ""ตัวเอง"" หรือ ""ผู้พูด""
* ""เสียใจขนาด"" อาจหมายถึง ""เสียใจมาก"" หรือ ""เสียใจอย่างมาก""","khokhwamthiaihmaepnphasaehnueo (phasathinehnueo) khongphasaaithy aelakhokhwamnimikhwamhmaythiaimchadechnhrueooachmikhwamhmaythiaimehmaasm

haktongkaraeplkhokhwamniepnphasaoangkrues aihekhiynkhokhwamthichadechnaelaehmaasmkon chaknanchuengaeplepnphasaoangkrues

haktongkaraeplkhokhwamthiaihmaepnphasaoangkruesodytrng oachaeplepn:

""I want to enter the Hongheian School because I think it's a good school. I've been studying hard to get in, but I failed the exam. I'm very disappointed.""

hrueo

""I want to enter Hongheian School because I think it's a good school. I've been studying hard to get in, but I failed the exam. I'm really sad about it.""

khomulephimetimthioachtongkar:

* ""ohngehiynswnkuhlab"" oachhmaythueng ""orngeriynswnkuhlab"" suengepnorngeriyneokchnainpraethsaithy
* ""ohngehiyntidi"" oachhmaythueng ""orngeriynthidi"" hrueo ""orngeriynthimichueoesiyng""
* ""ehiynnak-"" oachhmaythueng ""eriynhnangsueo"" hrueo ""sueksa""
* ""ti"" oachhmaythueng ""taweong"" hrueo ""phuphud""
* ""esiyaichkhnad"" oachhmaythueng ""esiyaichmak"" hrueo ""esiyaichoyangmak""","I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: จะหมู่รอบตัวชอบไปแอ่วเมืองนอก แต่ฮู้สึกเสียดายเงิน เลยไปแอ่วทะเลในไทยแทน อากาศก่อดี ราคาก่ถูก ดีกว่าเยอะ เยียะหยังต้องไปเมืองนอกโตย บ่เข้าใจ
คำแปล:","ข้อความที่ให้มาเป็นภาษาเหนือเป๋น (ภาษาถิ่นเหนือ) ของไทย และข้อมูลเพิ่มเติมที่ต้องการคือการแปลข้อความนี้เป็นภาษาอังกฤษโดยตรง

ข้อความที่ให้มา: จะหมู่รอบตัวชอบไปแอ่วเมืองนอก แต่ฮู้สึกเสียดายเงิน เลยไปแอ่วทะเลในไทยแทน อากาศก่อดี ราคาก่ถูก ดีกว่าเยอะ เยียะหยังต้องไปเมืองนอกโตย บ่เข้าใจ

คำแปล: 

I like to travel around but feel sorry for the money, so I go to the beach in Thailand instead. The weather is good and the price is cheap, much better. I don't know why I have to go abroad to travel.

หมายเหตุ: คำว่า ""แอ่ว"" ในข้อความนี้หมายถึง ""ไปเที่ยว"" หรือ ""เดินทาง"" ในภาษาเหนือเป๋น","khokhwamthiaihmaepnphasaehnueoepn (phasathinehnueo) khongaithy aelakhomulephimetimthitongkarkhueokaraeplkhokhwamniepnphasaoangkruesodytrng

khokhwamthiaihma: chahmurobtawchobaipaeowemueongnok aethusuekesiydayengin elyaipaeowthaelainaithyaethn oakaskodi rakhakthuk dikwaeyoa eyiyahyangtongaipemueongnokoty bekhaaich

khamaepl: 

I like to travel around but feel sorry for the money, so I go to the beach in Thailand instead. The weather is good and the price is cheap, much better. I don't know why I have to go abroad to travel.

hmayehtu: khamwa ""aeow"" ainkhokhwamnihmaythueng ""aipethiyw"" hrueo ""edinthang"" ainphasaehnueoepn","My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: สูเขากำลังช่วยกันทำความสะอาดบ้านเพราะตี้บ้านมีแต่ขี้เปอะเต็มไปหมด หลังจากเกิดเหตุการณ์น้ำท่วมเมื่ออาติ้ดตี้ผ่านมา ต้องทำความสะอาดแหมเมินเลย
คำแปล:","ข้อความที่ให้มาเป็นภาษาเหนือ เป๋น (ภาษาถิ่นเหนือ) ของภาษาไทย คำแปลโดยตรงของข้อความนี้คือ:

""พวกเรากำลังช่วยกันทำความสะอาดบ้าน เพราะบ้านมีฝุ่นเป็นจำนวนมาก หลังจากเกิดน้ำท่วมเมื่ออดีตผ่านมา ต้องทำความสะอาดหมดเลย""

ข้อมูลเพิ่มเติม:

* ""สู"" หมายถึง ""พวกเรา"" หรือ ""เรา""
* ""ตี้บะ"" หมายถึง ""บ้าน""
* ""ตี้"" หมายถึง ""มี""
* ""ขี้"" หมายถึง ""ฝุ่น""
* ""แหมเมิน"" หมายถึง ""หมด"" หรือ ""ทั้งหมด""
* ""อาติ้ด"" หมายถึง ""อดีต"" หรือ ""เมื่อผ่านมา""","khokhwamthiaihmaepnphasaehnueo epn (phasathinehnueo) khongphasaaithy khamaeplodytrngkhongkhokhwamnikhueo:

""phwkerakamlangchwykanthamkhwamsaoadban ephraabanmifunepnchamnwnmak hlangchakekidnamthwmemueooditphanma tongthamkhwamsaoadhmdely""

khomulephimetim:

* ""su"" hmaythueng ""phwkera"" hrueo ""era""
* ""tiba"" hmaythueng ""ban""
* ""ti"" hmaythueng ""mi""
* ""khi"" hmaythueng ""fun""
* ""aehmemin"" hmaythueng ""hmd"" hrueo ""thanghmd""
* ""oatid"" hmaythueng ""odit"" hrueo ""emueophanma""",They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: ป้อกับแม่ชอบไปยะกั๋นตี้สวนมากเพราะตี้สวนบรรยากาศดีและสงบ รวมไปถึงวิวเขาตี้ดูสวยงามเหมือนหลุดเข้าไปแหมโลก
คำแปล:","ข้อความที่ให้มาเป็นภาษาเหนือเป๋น (คำอ่าน: ป้อก) ซึ่งเป็นภาษาในกลุ่มภาษาไทของไทยเหนือ คำแปลที่ถูกต้องควรเป็นภาษาไทยมาตรฐาน ดังนี้

""ป้อกกับแม่ชอบไปเยี่ยมสวนมาก เพราะสวนบรรยากาศดีและสงบ รวมไปถึงวิวเขา ดูสวยงามเหมือนหลุดเข้าไปในโลก""

ข้อมูลเพิ่มเติม:

- ""ป้อก"" เป็นคำที่ใช้แทนคำว่า ""ไป"" ในภาษาเหนือเป๋น
- ""ยะ"" เป็นคำที่ใช้แทนคำว่า ""เยี่ยม"" ในภาษาเหนือเป๋น
- ""ตี้"" เป็นคำที่ใช้แทนคำว่า ""ที่"" ในภาษาเหนือเป๋น
- ""สวน"" เป็นคำที่ไม่เปลี่ยนแปลง
- ""บรรยากาศดีและสงบ"" เป็นคำที่ไม่เปลี่ยนแปลง
- ""รวมไปถึง"" เป็นคำที่ไม่เปลี่ยนแปลง
- ""วิวเขา"" เป็นคำที่ไม่เปลี่ยนแปลง
- ""ดูสวยงามเหมือนหลุดเข้าไปในโลก"" เป็นคำที่ไม่เปลี่ยนแปลง","khokhwamthiaihmaepnphasaehnueoepn (khamoan: pok) suengepnphasaainklumphasaaithkhongaithyehnueo khamaeplthithuktongkhwrepnphasaaithymatrthan dangni

""pokkabaemchobaipeyiymswnmak ephraaswnbrryakasdiaelasngb rwmaipthuengwiwekha duswyngamehmueonhludekhaaipainolk""

khomulephimetim:

- ""pok"" epnkhamthiaichaethnkhamwa ""aip"" ainphasaehnueoepn
- ""ya"" epnkhamthiaichaethnkhamwa ""eyiym"" ainphasaehnueoepn
- ""ti"" epnkhamthiaichaethnkhamwa ""thi"" ainphasaehnueoepn
- ""swn"" epnkhamthiaimepliynaeplng
- ""brryakasdiaelasngb"" epnkhamthiaimepliynaeplng
- ""rwmaipthueng"" epnkhamthiaimepliynaeplng
- ""wiwekha"" epnkhamthiaimepliynaeplng
- ""duswyngamehmueonhludekhaaipainolk"" epnkhamthiaimepliynaeplng","Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: เมนูน้ำพริกหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ พริกชี้ฟ้า หอมเแดง กระเทียม
คำแปล:","ข้อความในภาษาเหนือ: เมนูน้ำพริกหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ พริกชี้ฟ้า หอมแดง กระเทียม

ข้อความในภาษาอังกฤษ: Nam phrik num (น้ำพริกหนุ่ม) is a spicy and sour sauce originating from Northern Thailand. The main ingredients are bird's eye chilies, shallots, and garlic.","khokhwamainphasaehnueo: emnunamphrikhnumepnoaharkhuenchueokhongphakhehnueo odymiwatthudibhlak- khueo phrikchifa homaedng kraethiym

khokhwamainphasaoangkrues: Nam phrik num (namphrikhnum) is a spicy and sour sauce originating from Northern Thailand. The main ingredients are bird's eye chilies, shallots, and garlic.","Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: หมู่เฮาตอนเที่ยงมีไผสนใจไปกินส้มตำไก่ย่างตี๋ร้านครัวคุณกรก่อ?
คำแปล:","ข้อความที่ให้มาเป็นภาษาเหนือ (ไท) และคำแปลที่ถูกต้องควรเป็นภาษาไทย ดังนั้น คำตอบที่ถูกต้องควรเป็นภาษาไทย

คำแปล: หมู่เฮาตอนเที่ยงมีไผสนใจไปกินส้มตำไก่ย่างตี่ร้านครัวคุณกรก่อ?

หากต้องการแปลเป็นภาษาอังกฤษ คำแปลที่ถูกต้องควรเป็น:

Do you want to go to Khrua Khun Kao to eat Som Tam Gai Yang at noon?","khokhwamthiaihmaepnphasaehnueo (aith) aelakhamaeplthithuktongkhwrepnphasaaithy dangnan khamtobthithuktongkhwrepnphasaaithy

khamaepl: hmuehatonethiyngmiaiphsnaichaipkinsmtamaikyangtirankhrawkhunkrko?

haktongkaraeplepnphasaoangkrues khamaeplthithuktongkhwrepn:

Do you want to go to Khrua Khun Kao to eat Som Tam Gai Yang at noon?",Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: วันนี้ตื่นเช้ามากเพราะจะไปดูแข่งล่นควาย อากาศฮ้อนขนาด ปิ๊กบ้านมาเลยนอนพักเพราะปวดหัว
คำแปล:","ข้อความที่ให้มาเป็นภาษาเหนือ เป๋น ซึ่งเป็นภาษาในกลุ่มภาษาไทยภาคเหนือ คำแปลของข้อความนี้คือ:

""วันนี้ตื่นเช้ามากเพราะจะไปดูแข่งล่นควาย อากาศฮ้อนขนาด ปิ๊กบ้านมาเลยนอนพักเพราะปวดหัว""

คำแปลเป็นภาษาอังกฤษ:

""Today I woke up early because I'm going to watch the buffalo racing. The weather is very hot. I went back home to rest because I have a headache.""

หมายเหตุ: คำว่า ""ปิ๊กบ้าน"" ในภาษาเหนือ เป๋น หมายถึง ""ไปบ้าน"" หรือ ""กลับบ้าน"" ในภาษาอังกฤษ","khokhwamthiaihmaepnphasaehnueo epn suengepnphasaainklumphasaaithyphakhehnueo khamaeplkhongkhokhwamnikhueo:

""wannituenechamakephraachaaipduaekhnglnkhway oakashonkhnad pikbanmaelynonphakephraapwdhaw""

khamaeplepnphasaoangkrues:

""Today I woke up early because I'm going to watch the buffalo racing. The weather is very hot. I went back home to rest because I have a headache.""

hmayehtu: khamwa ""pikban"" ainphasaehnueo epn hmaythueng ""aipban"" hrueo ""klabban"" ainphasaoangkrues","I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: เยี๊ยะหยังฮาต้องยะกั๋นนี้แหมแล้ว แก้มาหลายเตื้อละ บ่แล้วสักกำ คนสั่งหื้อแก้ก่บ่ฮู้ว่าตัวเก่ายะหยังอยู่ ฮาอิ๊ดขนาด
คำแปล:","ข้อความนี้เป็นภาษาเหนือ (ภาษาถิ่นภาคเหนือของประเทศไทย) และแปลเป็นภาษาอังกฤษได้ดังนี้:

""เยียยหยังฮาต้องยะกั๋นนี้แหมแล้ว แก้มาหลายเตื้อละ บ่แล้วสักกำ คนสั่งหื้อแก้ก่บ่ฮู้ว่าตัวเก่ายะหยังอยู่ ฮาอิ๊ดขนาด""

แปลเป็นภาษาอังกฤษ:

""Yia yiang hai tau ya kawn niy aam lae. Gaew mai lae tua lae. Bua lae sak kam sahn hui ga bue hoo. Tau kai ya yiang hai yuu hai. Hai id khan""

หมายเหตุ: ข้อความนี้มีลักษณะเป็นภาษาถิ่นและอาจมีคำศัพท์ที่ไม่คุ้นเคยหรือไม่เข้าใจง่ายสำหรับผู้ที่ไม่พูดภาษาเหนือ ดังนั้นการแปลอาจไม่สมบูรณ์หรืออาจมีข้อผิดพลาด

หากต้องการข้อมูลเพิ่มเติมหรือคำอธิบายเพิ่มเติมเกี่ยวกับข้อความนี้ โปรดแจ้งให้ทราบ","khokhwamniepnphasaehnueo (phasathinphakhehnueokhongpraethsaithy) aelaaeplepnphasaoangkruesaiddangni:

""eyiyyhyanghatongyakanniaehmaelw aekmahlayetueola baelwsakkam khnsanghueoaekkbhuwatawekayahyangoyu haoidkhnad""

aeplepnphasaoangkrues:

""Yia yiang hai tau ya kawn niy aam lae. Gaew mai lae tua lae. Bua lae sak kam sahn hui ga bue hoo. Tau kai ya yiang hai yuu hai. Hai id khan""

hmayehtu: khokhwamnimilaksnaepnphasathinaelaoachmikhamsaphththiaimkhunekhyhrueoaimekhaaichngaysamhrabphuthiaimphudphasaehnueo dangnankaraeploachaimsmburnhrueooachmikhophidphlad

haktongkarkhomulephimetimhrueokhamothibayephimetimekiywkabkhokhwamni oprdaechngaihthrab","Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted."
