Input,Pred,Pred_Latin,Gold
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: กลุ่มนักเฮียนชอบไปเตียวเล่นกับอาจารย์ในช่วงเมื่อแลง เพราะอากาศมันเย็นสบายได้ออกกำลังกายและป่าไม้รอบๆตางเตียวก่ยะฮื้ออากาศดีมากๆโตย
คำแปล:","Comment: The group of students likes to go to the field to play with the teacher during the evening because the weather is cool, they can exercise and the forest around the field has a very good air quality.","Comment: The group of students likes to go to the field to play with the teacher during the evening because the weather is cool, they can exercise and the forest around the field has a very good air quality.","The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: ขับรถเครื่องไปซื้อกาแฟที่หน้าปากซอย แต่ก็พบว่าฮ้านประจำตี้ชอบกิ๋นมันปิดไปแล้ว ก่อเลยขับรถไปซื้อฮ้านใหม่ บ่อลำเลย จะบ่ไปซื้อแหมแล้ว
คำแปล:","Commentary: This is a simple sentence in Northern Thai language, which is a dialect of the Thai language. The sentence is about a person who drives a motorcycle to buy coffee at the entrance of an alley, but finds that the usual shop is closed. Therefore, they decide to drive to a new shop instead of not buying coffee at all.

English translation: ""I drove my motorcycle to buy coffee at the entrance of the alley, but I found that my usual shop has closed. So, I drove to buy a new one instead of not buying coffee at all.""","Commentary: This is a simple sentence in Northern Thai language, which is a dialect of the Thai language. The sentence is about a person who drives a motorcycle to buy coffee at the entrance of an alley, but finds that the usual shop is closed. Therefore, they decide to drive to a new shop instead of not buying coffee at all.

English translation: ""I drove my motorcycle to buy coffee at the entrance of the alley, but I found that my usual shop has closed. So, I drove to buy a new one instead of not buying coffee at all.""","I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: ฮาอยากจะสอบเข้าโฮงเฮียนสวนกุหลาบเพราะกึดว่าเป็นโฮงเฮียนตี้ดี ฮาเลยตั้งใจเฮียนนักๆ เพื่อตี้จะสอบเข้าตี้นี่หื้อได้ สุดท้ายสอบบ่ติด เสียใจขนาด
คำแปล:","Comment: The text is in Northern Thai dialect, which is a regional language spoken in the northern part of Thailand. The translation provided is a direct translation from Northern Thai to English, without any additional information.

Original text: ""ฮาอยากจะสอบเข้าโฮงเฮียนสวนกุหลาบเพราะกึดว่าเป็นโฮงเฮียนตี้ดี ฮาเลยตั้งใจเฮียนนักๆ เพื่อตี้จะสอบเข้าตี้นี่หื้อได้ สุดท้ายสอบบ่ติด เสียใจขนาด""

Translation: ""He wants to enter the dormitory of Suankularb School because he thinks it's a good dormitory. He has studied hard to pass the entrance exam for this dormitory. Unfortunately, he didn't pass the exam and is very disappointed.""","Comment: The text is in Northern Thai dialect, which is a regional language spoken in the northern part of Thailand. The translation provided is a direct translation from Northern Thai to English, without any additional information.

Original text: ""haoyakchasobekhaohngehiynswnkuhlabephraakuedwaepnohngehiyntidi haelytangaichehiynnak- ephueotichasobekhatinihueoaid sudthaysobbtid esiyaichkhnad""

Translation: ""He wants to enter the dormitory of Suankularb School because he thinks it's a good dormitory. He has studied hard to pass the entrance exam for this dormitory. Unfortunately, he didn't pass the exam and is very disappointed.""","I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: จะหมู่รอบตัวชอบไปแอ่วเมืองนอก แต่ฮู้สึกเสียดายเงิน เลยไปแอ่วทะเลในไทยแทน อากาศก่อดี ราคาก่ถูก ดีกว่าเยอะ เยียะหยังต้องไปเมืองนอกโตย บ่เข้าใจ
คำแปล:","Translation: ""I prefer to travel around the city, but I feel sorry for the money, so I went to the beach in Thailand instead. The weather is good and the price is cheap, much better. Why should I go abroad when I don't understand it?""","Translation: ""I prefer to travel around the city, but I feel sorry for the money, so I went to the beach in Thailand instead. The weather is good and the price is cheap, much better. Why should I go abroad when I don't understand it?""","My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: สูเขากำลังช่วยกันทำความสะอาดบ้านเพราะตี้บ้านมีแต่ขี้เปอะเต็มไปหมด หลังจากเกิดเหตุการณ์น้ำท่วมเมื่ออาติ้ดตี้ผ่านมา ต้องทำความสะอาดแหมเมินเลย
คำแปล:","Comment: The translation is from Northern Thai to English.

Original text: ""สูเขากำลังช่วยกันทำความสะอาดบ้านเพราะตี้บ้านมีแต่ขี้เปอะเต็มไปหมด หลังจากเกิดเหตุการณ์น้ำท่วมเมื่ออาติ้ดตี้ผ่านมา ต้องทำความสะอาดแหมเมินเลย""

Translation: ""The family is helping each other clean the house because the house is full of dirt and mud after the flood that happened a while ago. They have to clean it thoroughly.""","Comment: The translation is from Northern Thai to English.

Original text: ""suekhakamlangchwykanthamkhwamsaoadbanephraatibanmiaetkhiepoaetmaiphmd hlangchakekidehtukarnnamthwmemueooatidtiphanma tongthamkhwamsaoadaehmeminely""

Translation: ""The family is helping each other clean the house because the house is full of dirt and mud after the flood that happened a while ago. They have to clean it thoroughly.""",They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: ป้อกับแม่ชอบไปยะกั๋นตี้สวนมากเพราะตี้สวนบรรยากาศดีและสงบ รวมไปถึงวิวเขาตี้ดูสวยงามเหมือนหลุดเข้าไปแหมโลก
คำแปล:","Comment: The original text is in Northern Thai language. To provide an accurate translation, I would need more context and information about the specific dialect used. However, based on my understanding of Northern Thai language, the translation would be:

""Paok and Mae like going to Yakkaset Suan a lot because Yakkaset Suan has a nice atmosphere and is peaceful. Additionally, the view of the mountains there is beautiful, like stepping into another world.""

Please note that this is just an approximate translation and may not be entirely accurate without further context and information.","Comment: The original text is in Northern Thai language. To provide an accurate translation, I would need more context and information about the specific dialect used. However, based on my understanding of Northern Thai language, the translation would be:

""Paok and Mae like going to Yakkaset Suan a lot because Yakkaset Suan has a nice atmosphere and is peaceful. Additionally, the view of the mountains there is beautiful, like stepping into another world.""

Please note that this is just an approximate translation and may not be entirely accurate without further context and information.","Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: เมนูน้ำพริกหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ พริกชี้ฟ้า หอมเแดง กระเทียม
คำแปล:","Comment: The dish ""Nam Prik Num"" is a famous food of the Northern region, with the main ingredients being bird's eye chilies, red onion, and garlic.

Translation: ""Nam Prik Num"" is a famous dish from the Northern region, with the main ingredients being bird's eye chilies, red onion, and garlic.","Comment: The dish ""Nam Prik Num"" is a famous food of the Northern region, with the main ingredients being bird's eye chilies, red onion, and garlic.

Translation: ""Nam Prik Num"" is a famous dish from the Northern region, with the main ingredients being bird's eye chilies, red onion, and garlic.","Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: หมู่เฮาตอนเที่ยงมีไผสนใจไปกินส้มตำไก่ย่างตี๋ร้านครัวคุณกรก่อ?
คำแปล:","Comment: ""ใครสนใจไปทานส้มตำไก่ย่างที่ร้านครัวคุณกรก่อตอนเที่ยง?""","Comment: ""aikhrsnaichaipthansmtamaikyangthirankhrawkhunkrkotonethiyng?""",Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: วันนี้ตื่นเช้ามากเพราะจะไปดูแข่งล่นควาย อากาศฮ้อนขนาด ปิ๊กบ้านมาเลยนอนพักเพราะปวดหัว
คำแปล:","Comment: This text is written in Northern Thai dialect, which is a regional variation of the Thai language. To translate it accurately, we need to consider the specific vocabulary, grammar, and idioms used in the dialect. Here's the translation:

""Today, I woke up early because I'm going to watch a bullfight. It's really hot, so I walked back home and took a nap because I have a headache.""

Note: ""ปิ๊กบ้าน"" means ""walked back home,"" and ""เลยนอนพัก"" means ""and took a nap.""","Comment: This text is written in Northern Thai dialect, which is a regional variation of the Thai language. To translate it accurately, we need to consider the specific vocabulary, grammar, and idioms used in the dialect. Here's the translation:

""Today, I woke up early because I'm going to watch a bullfight. It's really hot, so I walked back home and took a nap because I have a headache.""

Note: ""pikban"" means ""walked back home,"" and ""elynonphak"" means ""and took a nap.""","I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: เยี๊ยะหยังฮาต้องยะกั๋นนี้แหมแล้ว แก้มาหลายเตื้อละ บ่แล้วสักกำ คนสั่งหื้อแก้ก่บ่ฮู้ว่าตัวเก่ายะหยังอยู่ ฮาอิ๊ดขนาด
คำแปล:","Translation: ""What's wrong with this? It's been corrected many times already, but still not perfect. The person who ordered the correction doesn't know what the original version was like. It's really frustrating.""

Note: The original text is in Northern Thai dialect, which has some unique words and expressions that may not be easily understood by non-native speakers. The translation provided above is an attempt to convey the meaning of the text in English, but it may not be a direct word-for-word translation.","Translation: ""What's wrong with this? It's been corrected many times already, but still not perfect. The person who ordered the correction doesn't know what the original version was like. It's really frustrating.""

Note: The original text is in Northern Thai dialect, which has some unique words and expressions that may not be easily understood by non-native speakers. The translation provided above is an attempt to convey the meaning of the text in English, but it may not be a direct word-for-word translation.","Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted."
