Input,Pred,Pred_Latin,Gold
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: โบ๋นักเรียนชอบไปเดินเล่นกับอาจารย์หวันเย็น เพราะอากาศมันเย็นบาย ได้ออกกำลังกายและป่าไม้รอบๆทางเดินก็ทำให้อากาศดีมากๆด้วย
คำแปล:","Okay, here's a direct, word-for-word translation of the provided text from Southern Thai to English, keeping the original meaning and style as close as possible:

""Bo, the student, likes to go for a walk with Teacher Wan in the evening because the weather is cool and comfortable. It's good for exercise, and the forest around the path also makes the air very good too.""
","Okay, here's a direct, word-for-word translation of the provided text from Southern Thai to English, keeping the original meaning and style as close as possible:

""Bo, the student, likes to go for a walk with Teacher Wan in the evening because the weather is cool and comfortable. It's good for exercise, and the forest around the path also makes the air very good too.""
","The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: ขับรถเครื่องไปซื้อกาแควที่หน้าปากซอย แต่ก็พบว่าร้านประจำที่ชอบกินมันปิดไปแล้ว ก็เลยขับรถไปซื้อร้านเอิน ไม่หร่อยเลย จะไม่หลบซื้ออีกแล้ว หร๊าบแล้ว ร้านนี้
คำแปล:","Okay, here's a direct, word-for-word translation of the Southern Thai text, as if ""Tle"" translated it:

""Drove motorcycle to buy coffee at the front of the alley, but found that the regular shop that I like to eat, it closed already. So drove to buy Ern's shop. Not delicious at all. Won't turn back to buy again already. Finished already, this shop.""
","Okay, here's a direct, word-for-word translation of the Southern Thai text, as if ""Tle"" translated it:

""Drove motorcycle to buy coffee at the front of the alley, but found that the regular shop that I like to eat, it closed already. So drove to buy Ern's shop. Not delicious at all. Won't turn back to buy again already. Finished already, this shop.""
","I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: ฉ้านอยากอีสอบเข้าโรงเรียนสวนกุหลาบเพราะคิดว่าเป็นโรงเรียนที่ดี ฉ้านเลยตั้งใจเรียนมากๆเพื่อที่จะสอบเข้าที่นี้ให้ได้ สุดท้ายฉ้านสอบไม่ติด เสียใจหนัดเหนียน
คำแปล:","Okay, here's a direct translation of the text into English, trying to keep the original ""Tใต้"" flavor as much as possible:

""I want to go take exam enter Suankularb School because think that is good school. I then intend study very much in order to take exam enter this place to get. Finally, I take exam not get. Sad very much.""
","Okay, here's a direct translation of the text into English, trying to keep the original ""Tait"" flavor as much as possible:

""I want to go take exam enter Suankularb School because think that is good school. I then intend study very much in order to take exam enter this place to get. Finally, I take exam not get. Sad very much.""
","I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: โบ๋เพื่อนๆรอบตัวชอบไปเที่ยวเมืองนอก แต่รู้สึกดายของเบี้ย เลยไปเที่ยวเลในไทยแทน อากาศก็ดี ไม่เปลื้องเบี้ย ดีกว่าลุย ทำไมต้องไปเมืองนอกกันด้วย ไม่เข้าใจโบ๋นี้
คำแปล:","Okay, here's a direct, word-for-word translation of the text into English, trying to capture the original meaning and tone as much as possible:

""Bo, friends around (him) like to go travel foreign countries, but feels pity of money, so goes travel sea in Thailand instead. Weather also good, doesn't waste money, better than struggling. Why must go foreign countries too? Don't understand Bo this.""
","Okay, here's a direct, word-for-word translation of the text into English, trying to capture the original meaning and tone as much as possible:

""Bo, friends around (him) like to go travel foreign countries, but feels pity of money, so goes travel sea in Thailand instead. Weather also good, doesn't waste money, better than struggling. Why must go foreign countries too? Don't understand Bo this.""
","My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: โบ๋เขากำลังช่วยกันทำความสะอาดเริ่นเพราะที่เริ่นยังโคลนจังเสีย หลังจากเกิดเหตุการณ์น้ำท่วมแร็กอาทิตย์ที่ผ่านมา  ต้องทำความสะอาดอีกนานเหลย
คำแปล:","Okay, here's a literal translation of the text into English, keeping the original meaning and tone as close as possible:

""Now they are helping each other clean the area because the area is still very muddy since the flooding event last week. It will take a long time to clean.""
","Okay, here's a literal translation of the text into English, keeping the original meaning and tone as close as possible:

""Now they are helping each other clean the area because the area is still very muddy since the flooding event last week. It will take a long time to clean.""
",They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: พ่อกับแม่ชอบไปทำงานสวนหนัดเพราะที่สวนบรรยากาศดีไม่มีใครมางวน รวมไปถึงวิวภูเขาที่ดูสวยงามเหมือนหลุดเข้าไปอีกโลก
คำแปล:","Okay, here's a direct translation of the text into English, trying to keep the ""flavor"" of the original as you requested:

""Dad and Mom like to go work in the garden a lot because the atmosphere at the garden is good, nobody comes to bother [them]. Including the mountain view that looks beautiful like [they've] fallen into another world.""
","Okay, here's a direct translation of the text into English, trying to keep the ""flavor"" of the original as you requested:

""Dad and Mom like to go work in the garden a lot because the atmosphere at the garden is good, nobody comes to bother [them]. Including the mountain view that looks beautiful like [they've] fallen into another world.""
","Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: เมนูน้ำชุปหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ ดีปลี หอมเแดง หัวเทียม
คำแปล:","The ""Nam Chup Num"" menu is a famous dish of the Northern region, with main ingredients being dee-plee (long pepper), shallots, and garlic.
","The ""Nam Chup Num"" menu is a famous dish of the Northern region, with main ingredients being dee-plee (long pepper), shallots, and garlic.
","Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: โบ๋เรา ตอนเที่ยงยังใครที่อาดไปกินส้มตำไก่ย่างที่ร้านครัวคุณกรมั้งม่าย?
คำแปล:","Okay, here's a direct, word-for-word translation of the Southern Thai phrase into English, keeping the original style:

""Bo-rao, at noon, is there anyone who dares to go eat somtum and grilled chicken at the Krua Khun Kra restaurant or not?""
","Okay, here's a direct, word-for-word translation of the Southern Thai phrase into English, keeping the original style:

""Bo-rao, at noon, is there anyone who dares to go eat somtum and grilled chicken at the Krua Khun Kra restaurant or not?""
",Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: วันนี้ตื่นหัวรุ่งเพราะจะไปแลแข่งแล่นควาย อากาศร้อนอีตาย หลบเริ่นมา เลยนอนพักเพราะเจ็บเบ็ดหัวแปลบ
คำแปล:","Okay, here's a direct, word-for-word translation of the provided Southern Thai text, keeping it as close to the original as possible, just like Tle would translate it:

""Today woke up early morning because will go see buffalo racing competition. Weather hot die already. Avoid shade come. So lie down rest because hurt head throbbing.""
","Okay, here's a direct, word-for-word translation of the provided Southern Thai text, keeping it as close to the original as possible, just like Tle would translate it:

""Today woke up early morning because will go see buffalo racing competition. Weather hot die already. Avoid shade come. So lie down rest because hurt head throbbing.""
","I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: ไซร้ฉ้านต้องทำงานนี้แล้วหล่าว แก้มาจังเสียแล้ว ไม่เสร็จสักที คนสั่งให้แก้ก็ไม่รู้ว่าตัวเองทำไหร่อยู่ ฉันเหนื่อยแค่แล้ว
คำแปล:","Alright, I have to do this work again. It's been revised so many times already, and it's still not finished. The person who keeps asking for revisions doesn't even know what they're doing. I'm so tired already.
","Alright, I have to do this work again. It's been revised so many times already, and it's still not finished. The person who keeps asking for revisions doesn't even know what they're doing. I'm so tired already.
","Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted."
