Input,Pred,Pred_Latin,Gold
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: โบ๋นักเรียนชอบไปเดินเล่นกับอาจารย์หวันเย็น เพราะอากาศมันเย็นบาย ได้ออกกำลังกายและป่าไม้รอบๆทางเดินก็ทำให้อากาศดีมากๆด้วย
คำแปล:",Comment: The student likes to walk with Teacher Wan Yen because it's cool and they get exercise and the forest around the path is very good for the air.,Comment: The student likes to walk with Teacher Wan Yen because it's cool and they get exercise and the forest around the path is very good for the air.,"The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: ขับรถเครื่องไปซื้อกาแควที่หน้าปากซอย แต่ก็พบว่าร้านประจำที่ชอบกินมันปิดไปแล้ว ก็เลยขับรถไปซื้อร้านเอิน ไม่หร่อยเลย จะไม่หลบซื้ออีกแล้ว หร๊าบแล้ว ร้านนี้
คำแปล:","Stole the car and went to buy a cup of coffee at the front of the alley, but found that the regular shop I like to eat is already closed. So I drove to buy at the En store, it's not good, I won't hide to buy again, it's already bad, this store.","Stole the car and went to buy a cup of coffee at the front of the alley, but found that the regular shop I like to eat is already closed. So I drove to buy at the En store, it's not good, I won't hide to buy again, it's already bad, this store.","I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: ฉ้านอยากอีสอบเข้าโรงเรียนสวนกุหลาบเพราะคิดว่าเป็นโรงเรียนที่ดี ฉ้านเลยตั้งใจเรียนมากๆเพื่อที่จะสอบเข้าที่นี้ให้ได้ สุดท้ายฉ้านสอบไม่ติด เสียใจหนัดเหนียน
คำแปล:","Stam wants to enter Suankularb School because he thinks it's a good school. Stam has been studying hard to pass the entrance exam. Finally, Stam failed the exam and was very disappointed.","Stam wants to enter Suankularb School because he thinks it's a good school. Stam has been studying hard to pass the entrance exam. Finally, Stam failed the exam and was very disappointed.","I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: โบ๋เพื่อนๆรอบตัวชอบไปเที่ยวเมืองนอก แต่รู้สึกดายของเบี้ย เลยไปเที่ยวเลในไทยแทน อากาศก็ดี ไม่เปลื้องเบี้ย ดีกว่าลุย ทำไมต้องไปเมืองนอกกันด้วย ไม่เข้าใจโบ๋นี้
คำแปล:","My friends around me like to travel abroad, but I feel sad about the expenses, so I prefer to travel in Thailand instead. The weather is good and there's no need to spend money. Why do we have to go abroad anyway? I don't understand.","My friends around me like to travel abroad, but I feel sad about the expenses, so I prefer to travel in Thailand instead. The weather is good and there's no need to spend money. Why do we have to go abroad anyway? I don't understand.","My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: โบ๋เขากำลังช่วยกันทำความสะอาดเริ่นเพราะที่เริ่นยังโคลนจังเสีย หลังจากเกิดเหตุการณ์น้ำท่วมแร็กอาทิตย์ที่ผ่านมา  ต้องทำความสะอาดอีกนานเหลย
คำแปล:",Comment: The group is helping each other clean up because the place is still muddy after the flood that happened a week ago. It will take a long time to clean up.,Comment: The group is helping each other clean up because the place is still muddy after the flood that happened a week ago. It will take a long time to clean up.,They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: พ่อกับแม่ชอบไปทำงานสวนหนัดเพราะที่สวนบรรยากาศดีไม่มีใครมางวน รวมไปถึงวิวภูเขาที่ดูสวยงามเหมือนหลุดเข้าไปอีกโลก
คำแปล:","Comment: พ่อและแม่ชอบไปทำงานสวนหนัดเพราะที่สวนบรรยากาศดีไม่มีใครมางวน รวมไปถึงวิวภูเขาที่ดูสวยงามเหมือนหลุดเข้าไปอีกโลก

Translation: Dad and mom like going to work in the garden because the garden has a nice atmosphere and no one comes to disturb them, including the beautiful view of the mountains that look like they've entered another world.","Comment: phoaelaaemchobaipthamnganswnhnadephraathiswnbrryakasdiaimmiaikhrmangwn rwmaipthuengwiwphuekhathiduswyngamehmueonhludekhaaipoikolk

Translation: Dad and mom like going to work in the garden because the garden has a nice atmosphere and no one comes to disturb them, including the beautiful view of the mountains that look like they've entered another world.","Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: เมนูน้ำชุปหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ ดีปลี หอมเแดง หัวเทียม
คำแปล:","Comment: The dish ""Nam Chup Num"" is a famous food of the Northern region. The main ingredients are Dii Plee, Hom Red, and Hua Thiam.","Comment: The dish ""Nam Chup Num"" is a famous food of the Northern region. The main ingredients are Dii Plee, Hom Red, and Hua Thiam.","Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: โบ๋เรา ตอนเที่ยงยังใครที่อาดไปกินส้มตำไก่ย่างที่ร้านครัวคุณกรมั้งม่าย?
คำแปล:","Comment: ""We"" (โบ๋เรา) refers to a group of people, possibly friends or colleagues. ""ตอนเที่ยง"" means ""at noon"". ""ยังใคร"" is a question asking ""who"" or ""which person"". ""ที่อาดไป"" means ""who went"". ""กินส้มตำไก่ย่าง"" means ""eat som tam (spicy papaya salad) and grilled chicken"". ""ที่ร้านครัวคุณกรมั้งม่าย"" means ""at Krua Khun Gram restaurant or not"".

English translation: ""Are there any of us who went to eat som tam and grilled chicken at Krua Khun Gram restaurant at noon?""","Comment: ""We"" (obera) refers to a group of people, possibly friends or colleagues. ""tonethiyng"" means ""at noon"". ""yangaikhr"" is a question asking ""who"" or ""which person"". ""thioadaip"" means ""who went"". ""kinsmtamaikyang"" means ""eat som tam (spicy papaya salad) and grilled chicken"". ""thirankhrawkhunkrmangmay"" means ""at Krua Khun Gram restaurant or not"".

English translation: ""Are there any of us who went to eat som tam and grilled chicken at Krua Khun Gram restaurant at noon?""",Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: วันนี้ตื่นหัวรุ่งเพราะจะไปแลแข่งแล่นควาย อากาศร้อนอีตาย หลบเริ่นมา เลยนอนพักเพราะเจ็บเบ็ดหัวแปลบ
คำแปล:",Comment: Today woke up early because I'm going to compete in a water buffalo racing. The weather is hot to death. I'm hiding from the sun. So I'm taking a nap because my head hurts from a headache.,Comment: Today woke up early because I'm going to compete in a water buffalo racing. The weather is hot to death. I'm hiding from the sun. So I'm taking a nap because my head hurts from a headache.,"I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: ไซร้ฉ้านต้องทำงานนี้แล้วหล่าว แก้มาจังเสียแล้ว ไม่เสร็จสักที คนสั่งให้แก้ก็ไม่รู้ว่าตัวเองทำไหร่อยู่ ฉันเหนื่อยแค่แล้ว
คำแปล:","Translation: ""I have to do this work now, it's already late. I'm so tired. I still haven't finished it. They keep telling me to fix it, but I don't know what I'm doing wrong. I'm so tired already.""","Translation: ""I have to do this work now, it's already late. I'm so tired. I still haven't finished it. They keep telling me to fix it, but I don't know what I'm doing wrong. I'm so tired already.""","Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: ฉ้านซื้อไก่ทอดมาขวากเพื่อน แต่เนือยอย่างแรงเลยเอาของเพื่อนมากิน เพื่อนไม่ว่าไหรแถมเอาไก่ไปอุ่นให้กัน เพื่อนเป็นคนดีนัด
คำแปล:","Comment: I bought fried chicken for my friend, but I was really lazy so I ate my friend's food instead. My friend didn't mind and even heated the chicken for me. My friend is a good person.","Comment: I bought fried chicken for my friend, but I was really lazy so I ate my friend's food instead. My friend didn't mind and even heated the chicken for me. My friend is a good person.","I bought fried chicken for my friend, but I was too hungry, so I ate it instead. My friend didn’t mind and even reheated it for me. Such a kind friend!"
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: ฉ้านไม่เคยรู้มาก่อนเลยว่า ผี๋เบียร์เป็นคนที่ปีนเขาได้เก่งอย่างแรง ดูหรอยหนัดและอิ๊เอาเขาเป็นตัวหยางของความมีวินัยและสม่ำเสมอในการออกกำลังกาย
คำแปล:","""Chawn never knew before that Phee Beer is a person who can climb mountains very well. Look handsome and take him as a model for discipline and consistency in exercise.""","""Chawn never knew before that Phee Beer is a person who can climb mountains very well. Look handsome and take him as a model for discipline and consistency in exercise.""","I never knew before that Beer was so good at rock climbing. It’s impressive, and I’ll use him as an example of discipline and consistency in exercise."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: บางคนชอบสมนากาหรู แต่บางคนชอบสมป้าวแบรนด์เนม สุดท้ายตายไปก็เอาไหรไปไม่ได้
คำแปล:","Comment: Some people like expensive watches, but some people like branded shoes. In the end, when they die, they can't take anything with them.","Comment: Some people like expensive watches, but some people like branded shoes. In the end, when they die, they can't take anything with them.","Some people like to collect luxury watches, while others prefer designer bags. In the end, you can’t take any of it with you when you die."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: วันที่ฝนตกต้องเอาร่มออกไปกัน แต่ว่าวันนี้หน่องแก้มลืมเอาร่มมา พันนั้นหน่องแก้มจึงนอนเล่นอยู๋แต่เริน
คำแปล:","Comment: On the day it rains, we have to take an umbrella. But today, Nongkaem forgot to bring an umbrella. Therefore, Nongkaem just lies down and plays in the rain.","Comment: On the day it rains, we have to take an umbrella. But today, Nongkaem forgot to bring an umbrella. Therefore, Nongkaem just lies down and plays in the rain.","On rainy days, you have to take an umbrella, but today, Gam forgot hers. So, she stayed home and relaxed."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: เจ็บพุงมีอยู่ 2 หยางคือ เจ็บพุงขี้ กับ เจ็บพุงแบบที่ต้องไปหาหมอ หลังจากนั้นก็เอาใบรับรองแพทย์มาให้อาจารย์ เพื่อใช้ในการหยบเรียน
คำแปล:","Comment: ""I have two types of stomachache, one is'stomachache from eating' and the other is'stomachache that requires a doctor's visit'. After that, I bring a doctor's certificate to the teacher for use in skipping class.""","Comment: ""I have two types of stomachache, one is'stomachache from eating' and the other is'stomachache that requires a doctor's visit'. After that, I bring a doctor's certificate to the teacher for use in skipping class.""","There are two kinds of stomach aches: one where you need to use the bathroom, and a real one that needs medical attention. After that, you bring a medical certificate to the teacher for a leave of absence."
